date,sp500,aapl,amzn,avgo,ba,bac,blk,bsx,de,et,ge,goog,gs,jpm,meta,ms,msft,nvda,ph,rok,tsla
3/28/2014,1857.62,19.17,16.91,6.41,124.46,16.98,310.89,13.2,88.75,23.36,155.3,27.92,162.3,60.04,60.01,30.91,40.3,0.45,119.24,124.25,14.16
3/31/2014,1872.34,19.17,16.82,6.44,125.49,17.2,314.48,13.52,90.8,23.38,155.36,27.77,163.85,60.71,60.24,31.17,40.99,0.45,119.71,124.55,13.9
4/1/2014,1885.52,19.34,17.15,6.5,128.21,17.34,316.89,13.62,91.39,23.81,155.24,28.28,165.92,60.67,62.62,31.21,41.42,0.47,121.99,124.84,14.46
4/2/2014,1890.9,19.38,17.1,6.46,128.31,17.23,318.55,13.69,91.9,23.95,156.26,28.27,167.27,60.48,62.72,31.41,41.35,0.46,123.75,126.1,15.35
4/3/2014,1888.77,19.24,16.68,6.39,128.78,17.15,314.64,13.77,92.06,23.98,157.4,28.41,166.09,60.66,59.49,30.95,41.01,0.47,123.26,126.88,15.03
4/4/2014,1865.09,18.99,16.15,6.18,127.38,16.72,308.92,13.5,91.83,23.71,156.14,27.08,163.24,59.81,56.75,30.37,39.87,0.45,121.8,124.51,14.15
4/7/2014,1845.04,18.7,15.89,6.04,125.59,16.38,303.89,13.22,91.15,23.03,155.12,26.83,158.56,59,56.95,29.52,39.8,0.46,119.3,121.99,13.83
4/8/2014,1851.96,18.69,16.35,6.02,124.15,16.44,302.4,12.91,92.54,23.19,154.52,27.67,156.56,58.85,58.19,29.53,39.82,0.47,119.67,122.97,14.36
4/9/2014,1872.18,18.94,16.59,6.25,126.88,16.62,308.32,13.54,93.38,24.2,155.72,28.13,158.16,59.27,62.41,30.22,40.47,0.47,122.53,123.94,14.46
4/10/2014,1833.08,18.7,15.86,5.99,123.64,16.12,295.95,12.93,92.74,23.93,153.5,26.97,155.98,57.4,59.16,29.25,39.36,0.46,119.82,121.57,13.61
4/11/2014,1815.69,18.56,15.59,5.85,122.07,15.77,293.71,12.69,92.01,23.91,152.6,26.46,152.72,55.3,58.53,28.47,39.21,0.45,119.14,120.8,13.59
4/14/2014,1830.61,18.63,15.8,5.88,123.25,16,298.47,13.31,92.44,23.91,154.28,26.55,154.74,54.96,58.89,29.06,39.18,0.46,120.33,121.45,13.21
4/15/2014,1842.98,18.5,15.8,5.89,124.27,16.39,300.71,13.35,92.34,24.12,154.94,26.75,154.92,54.8,59.09,29.55,39.75,0.46,121.27,122.43,12.93
4/16/2014,1862.31,18.54,16.18,5.93,126.04,16.13,310.15,13.5,93.15,24.18,156.74,27.75,157.22,55.26,59.72,29.89,40.4,0.46,124.22,125.7,13.27
4/17/2014,1864.85,18.75,16.25,6.09,127.92,16.15,308.38,13.65,93.4,24.18,159.38,26.73,157.44,55.22,58.94,30.76,40.01,0.46,125.35,127.02,13.21
4/21/2014,1871.89,18.97,16.54,6.19,127.82,16.09,305.88,13.72,93.12,24.27,159.56,26.36,157.8,55.03,61.24,30.98,39.94,0.47,125.19,127.75,13.63
4/22/2014,1879.55,18.99,16.47,6.34,127.55,16.29,308.27,13.75,93.34,24.13,159.5,26.67,160.46,55.81,63.03,31.2,39.99,0.47,124.94,127.67,14.58
4/23/2014,1875.39,18.74,16.23,6.46,130.63,16.37,307.6,13.69,93.57,23.87,158.54,26.27,160.45,56.05,61.36,31.04,39.69,0.48,124.77,127.16,13.87
4/24/2014,1878.61,20.28,16.86,6.54,129.86,16.34,303.62,13.75,93.89,23.74,158.78,26.19,160.85,56.19,60.87,30.94,39.86,0.48,124.46,127.64,13.86
4/25/2014,1863.4,20.43,15.19,6.23,128.66,15.95,300.45,13.38,93.14,23.43,159.62,25.74,158.24,55.7,57.71,30.58,39.91,0.47,122.4,125.1,13.32
4/28/2014,1869.43,21.22,14.83,6.08,127.04,14.95,298.5,13.58,92.77,23.37,160.7,25.79,156.54,55.49,56.14,29.99,40.87,0.47,122.73,124.53,13.23
4/29/2014,1878.33,21.15,15.02,6.09,128.37,15.24,300.5,12.73,93.73,23.48,160.58,26.31,158.24,56.1,58.15,30.52,40.51,0.47,125.86,115.63,13.79
4/30/2014,1883.95,21.07,15.21,6.35,129.02,15.14,301,12.61,93.34,23.3,161.36,26.26,159.82,55.98,59.78,30.93,40.4,0.46,126.88,119.18,13.86
5/1/2014,1883.68,21.12,15.39,6.35,128.46,15.09,301.05,12.6,93.22,23.4,160.64,26.49,160.37,55.72,61.15,31.22,40,0.46,126.09,120.22,13.85
5/2/2014,1881.14,21.16,15.4,6.43,129.94,15.25,299,12.81,92.92,23.39,160.1,26.32,158.88,55.58,60.46,30.69,39.69,0.46,125.08,119.57,14.06
5/5/2014,1884.66,21.46,15.5,6.42,131.96,15.08,298.5,13.07,92.69,23.38,159.5,26.32,156.35,54.22,61.22,30.07,39.43,0.47,124.27,119.84,14.44
5/6/2014,1867.72,21.23,14.87,6.73,130.83,14.73,296.31,12.95,92.77,23.64,157.16,25.69,154.54,53.34,58.53,29.46,39.06,0.46,123.4,118.82,13.82
5/7/2014,1878.21,21.15,14.64,6.68,130.35,14.8,299,12.77,94.53,24.71,159.2,25.43,155.52,54.05,57.39,29.7,39.42,0.46,123.89,119.58,13.42
5/8/2014,1875.63,21,14.42,6.79,130.57,14.93,300.38,12.8,94.28,24.7,158.66,25.48,157.4,54.36,56.76,29.69,39.64,0.46,124.23,118.35,11.91
5/9/2014,1878.48,20.91,14.61,6.74,131.1,14.74,302.34,12.73,94.34,24.77,158.54,25.87,157.2,54.01,57.24,29.68,39.54,0.45,124.2,117.89,12.15
5/12/2014,1896.65,21.17,15.14,6.91,132.6,15.07,304.58,12.93,93.65,25.09,161.12,26.42,159.55,54.65,59.83,30.33,39.97,0.46,126.48,121.42,12.31
5/13/2014,1897.45,21.21,15.23,6.88,133.45,15.03,302.96,12.8,93.61,25.05,161.54,26.58,160.28,54.62,59.83,30.33,40.42,0.46,126.04,120.69,12.68
5/14/2014,1888.53,21.21,14.88,6.85,132.99,14.84,301.8,12.79,91.7,25.2,160.58,26.26,159.45,54.36,59.23,30.25,40.24,0.45,124.94,119.63,12.71
5/15/2014,1870.85,21.03,14.76,6.79,131.21,14.55,297.02,12.69,91.21,25.07,159.62,25.93,156.64,53.51,57.92,29.77,39.6,0.45,122.56,119.77,12.57
5/16/2014,1877.86,21.34,14.88,6.85,130.81,14.51,297.53,12.8,91.27,25.54,160.04,25.96,156.43,53.31,58.02,30.14,39.83,0.45,123.03,120.19,12.77
5/19/2014,1885.08,21.59,14.84,6.83,131.35,14.67,299,12.83,90.67,24.97,159.68,26.37,157.67,53.83,59.21,30.16,39.75,0.46,123.81,121.42,13.07
5/20/2014,1872.83,21.6,15.06,6.75,129.58,14.53,296.43,12.62,89.95,24.95,157.82,26.42,156.35,53.72,58.56,29.71,39.68,0.46,121.26,118.91,13.02
5/21/2014,1888.03,21.65,15.25,6.84,130.96,14.61,299.9,12.8,89.98,25.07,158.96,26.87,159.35,54.12,60.49,30.01,40.35,0.46,122.47,119.6,13.3
5/22/2014,1892.49,21.69,15.25,6.87,131.84,14.71,300.57,12.68,89.99,25.39,159.08,27.18,159.85,54.55,60.52,30.39,40.1,0.46,121.88,119.88,13.66
5/23/2014,1900.53,21.93,15.61,7.05,132.41,14.72,300.69,12.83,89.98,25.71,159.08,27.56,160.16,54.53,61.35,30.49,40.12,0.46,123.1,121.26,13.82
