Date,AAPL
5/20/2025,206.86
5/19/2025,208.78
5/16/2025,211.26
5/15/2025,211.45
5/14/2025,212.33
5/13/2025,212.93
5/12/2025,210.79
5/9/2025,198.53
5/8/2025,197.49
5/7/2025,196.25
5/6/2025,198.51
5/5/2025,198.89
5/2/2025,205.35
5/1/2025,213.32
4/30/2025,212.5
4/29/2025,211.21
4/28/2025,210.14
4/25/2025,209.28
4/24/2025,208.37
4/23/2025,204.6
4/22/2025,199.74
4/21/2025,193.16
4/17/2025,196.98
4/16/2025,194.27
4/15/2025,202.14
4/14/2025,202.52
4/11/2025,198.15
4/10/2025,190.42
4/9/2025,198.85
4/8/2025,172.42
4/7/2025,181.46
4/4/2025,188.38
4/3/2025,203.19
4/2/2025,223.89
4/1/2025,223.19
3/31/2025,222.13
3/28/2025,217.9
3/27/2025,223.85
3/26/2025,221.53
3/25/2025,223.75
3/24/2025,220.73
3/21/2025,218.27
3/20/2025,214.1
3/19/2025,215.24
3/18/2025,212.69
3/17/2025,214
3/14/2025,213.49
3/13/2025,209.68
3/12/2025,216.98
3/11/2025,220.84
3/10/2025,227.48
3/7/2025,239.07
3/6/2025,235.33
3/5/2025,235.74
3/4/2025,235.93
3/3/2025,238.03
2/28/2025,241.84
2/27/2025,237.3
2/26/2025,240.36
2/25/2025,247.04
2/24/2025,247.1
2/21/2025,245.55
2/20/2025,245.83
2/19/2025,244.87
2/18/2025,244.47
2/14/2025,244.6
2/13/2025,241.53
2/12/2025,236.87
2/11/2025,232.62
2/10/2025,227.65
2/7/2025,227.63
2/6/2025,233.22
2/5/2025,232.47
2/4/2025,232.8
2/3/2025,228.01
1/31/2025,236
1/30/2025,237.59
1/29/2025,239.36
1/28/2025,238.26
1/27/2025,229.86
1/24/2025,222.78
1/23/2025,223.66
1/22/2025,223.83
1/21/2025,222.64
1/17/2025,229.98
1/16/2025,228.26
1/15/2025,237.87
1/14/2025,233.28
1/13/2025,234.4
1/10/2025,236.85
1/8/2025,242.7
1/7/2025,242.21
1/6/2025,245
1/3/2025,243.36
1/2/2025,243.85
12/31/2024,250.42
12/30/2024,252.2
12/27/2024,255.59
12/26/2024,259.02
12/24/2024,258.2
12/23/2024,255.27
12/20/2024,254.49
12/19/2024,249.79
12/18/2024,248.05
12/17/2024,253.48
12/16/2024,251.04
12/13/2024,248.13
12/12/2024,247.96
12/11/2024,246.49
12/10/2024,247.77
12/9/2024,246.75
12/6/2024,242.84
12/5/2024,243.04
12/4/2024,243.01
12/3/2024,242.65
12/2/2024,239.59
11/29/2024,237.33
11/27/2024,234.93
11/26/2024,235.06
11/25/2024,232.87
11/22/2024,229.87
11/21/2024,228.52
11/20/2024,229
11/19/2024,228.28
11/18/2024,228.02
11/15/2024,225
11/14/2024,228.22
11/13/2024,225.12
11/12/2024,224.23
11/11/2024,224.23
11/8/2024,226.96
11/7/2024,227.48
11/6/2024,222.72
11/5/2024,223.45
11/4/2024,222.01
11/1/2024,222.91
10/31/2024,225.91
10/30/2024,230.1
10/29/2024,233.67
10/28/2024,233.4
