Date,AMZN
5/20/2025,204.07
5/19/2025,206.16
5/16/2025,205.59
5/15/2025,205.17
5/14/2025,210.25
5/13/2025,211.37
5/12/2025,208.64
5/9/2025,193.06
5/8/2025,192.08
5/7/2025,188.71
5/6/2025,185.01
5/5/2025,186.35
5/2/2025,189.98
5/1/2025,190.2
4/30/2025,184.42
4/29/2025,187.39
4/28/2025,187.7
4/25/2025,188.99
4/24/2025,186.54
4/23/2025,180.6
4/22/2025,173.18
4/21/2025,167.32
4/17/2025,172.61
4/16/2025,174.33
4/15/2025,179.59
4/14/2025,182.12
4/11/2025,184.87
4/10/2025,181.22
4/9/2025,191.1
4/8/2025,170.66
4/7/2025,175.26
4/4/2025,171
4/3/2025,178.41
4/2/2025,196.01
4/1/2025,192.17
3/31/2025,190.26
3/28/2025,192.72
3/27/2025,201.36
3/26/2025,201.13
3/25/2025,205.71
3/24/2025,203.26
3/21/2025,196.21
3/20/2025,194.95
3/19/2025,195.54
3/18/2025,192.82
3/17/2025,195.74
3/14/2025,197.95
3/13/2025,193.89
3/12/2025,198.89
3/11/2025,196.59
3/10/2025,194.54
3/7/2025,199.25
3/6/2025,200.7
3/5/2025,208.36
3/4/2025,203.8
3/3/2025,205.02
2/28/2025,212.28
2/27/2025,208.74
2/26/2025,214.35
2/25/2025,212.8
2/24/2025,212.71
2/21/2025,216.58
2/20/2025,222.88
2/19/2025,226.63
2/18/2025,226.65
2/14/2025,228.68
2/13/2025,230.37
2/12/2025,228.93
2/11/2025,232.76
2/10/2025,233.14
2/7/2025,229.15
2/6/2025,238.83
2/5/2025,236.17
2/4/2025,242.06
2/3/2025,237.42
1/31/2025,237.68
1/30/2025,234.64
1/29/2025,237.07
1/28/2025,238.15
1/27/2025,235.42
1/24/2025,234.85
1/23/2025,235.42
1/22/2025,235.01
1/21/2025,230.71
1/17/2025,225.94
1/16/2025,220.66
1/15/2025,223.35
1/14/2025,217.76
1/13/2025,218.46
1/10/2025,218.94
1/8/2025,222.13
1/7/2025,222.11
1/6/2025,227.61
1/3/2025,224.19
1/2/2025,220.22
12/31/2024,219.39
12/30/2024,221.3
12/27/2024,223.75
12/26/2024,227.05
12/24/2024,229.05
12/23/2024,225.06
12/20/2024,224.92
12/19/2024,223.29
12/18/2024,220.52
12/17/2024,231.15
12/16/2024,232.93
12/13/2024,227.46
12/12/2024,228.97
12/11/2024,230.26
12/10/2024,225.04
12/9/2024,226.09
12/6/2024,227.03
12/5/2024,220.55
12/4/2024,218.16
12/3/2024,213.44
12/2/2024,210.71
11/29/2024,207.89
11/27/2024,205.74
11/26/2024,207.86
11/25/2024,201.45
11/22/2024,197.12
11/21/2024,198.38
11/20/2024,202.88
11/19/2024,204.61
11/18/2024,201.7
11/15/2024,202.61
11/14/2024,211.48
11/13/2024,214.1
11/12/2024,208.91
11/11/2024,206.84
11/8/2024,208.18
11/7/2024,210.05
11/6/2024,207.09
11/5/2024,199.5
11/4/2024,195.78
11/1/2024,197.93
10/31/2024,186.4
10/30/2024,192.73
10/29/2024,190.83
10/28/2024,188.39
10/25/2024,187.83
10/24/2024,186.38
10/23/2024,184.71
10/22/2024,189.7
10/21/2024,189.07
10/18/2024,188.99
10/17/2024,187.53
10/16/2024,186.89
10/15/2024,187.69
10/14/2024,187.54
10/11/2024,188.82
10/10/2024,186.65
10/9/2024,185.17
10/8/2024,182.72
10/7/2024,180.8
10/4/2024,186.51
10/3/2024,181.96
10/2/2024,184.76
10/1/2024,185.13
9/30/2024,186.33
9/27/2024,187.97
9/26/2024,191.16
9/25/2024,192.53
9/24/2024,193.96
9/23/2024,193.88
9/20/2024,191.6
9/19/2024,189.87
9/18/2024,186.43
9/17/2024,186.88
9/16/2024,184.89
9/13/2024,186.49
9/12/2024,187
9/11/2024,184.52
9/10/2024,179.55
9/9/2024,175.4
9/6/2024,171.39
9/5/2024,177.89
9/4/2024,173.33
9/3/2024,176.25
8/30/2024,178.5
8/29/2024,172.12
8/28/2024,170.8
8/27/2024,173.12
8/26/2024,175.5
8/23/2024,177.04
8/22/2024,176.13
8/21/2024,180.11
8/20/2024,178.88
8/19/2024,178.22
8/16/2024,177.06
8/15/2024,177.59
8/14/2024,170.1
8/13/2024,170.23
8/12/2024,166.8
8/9/2024,166.94
8/8/2024,165.8
8/7/2024,162.77
8/6/2024,161.93
8/5/2024,161.02
8/2/2024,167.9
8/1/2024,184.07
7/31/2024,186.98
7/30/2024,181.71
7/29/2024,183.2
7/26/2024,182.5
7/25/2024,179.85
7/24/2024,180.83
7/23/2024,186.41
7/22/2024,182.55
7/19/2024,183.13
7/18/2024,183.75
7/17/2024,187.93
7/16/2024,193.02
7/15/2024,192.72
7/12/2024,194.49
7/11/2024,195.05
7/10/2024,199.79
7/9/2024,199.34
7/8/2024,199.29
7/5/2024,200
7/3/2024,197.59
7/2/2024,200
7/1/2024,197.2
