Date,AVGO
5/20/2025,231.68
5/19/2025,230.63
5/16/2025,228.61
5/15/2025,232.64
5/14/2025,232.12
5/13/2025,232.42
5/12/2025,221.58
5/9/2025,208.2
5/8/2025,207.77
5/7/2025,204.81
5/6/2025,200.09
5/5/2025,200.72
5/2/2025,203.64
5/1/2025,197.33
4/30/2025,192.47
4/29/2025,191.17
4/28/2025,192.47
4/25/2025,192.31
4/24/2025,188.15
4/23/2025,176.91
4/22/2025,169.58
4/21/2025,166.21
4/17/2025,170.99
4/16/2025,174.61
4/15/2025,178.95
4/14/2025,178.36
4/11/2025,181.94
4/10/2025,172.3
4/9/2025,185.15
4/8/2025,156.03
4/7/2025,154.14
4/4/2025,146.29
4/3/2025,154.01
4/2/2025,172.09
4/1/2025,168.52
3/31/2025,167.43
3/28/2025,169.12
3/27/2025,171.99
3/26/2025,179.27
3/25/2025,188.26
3/24/2025,191.25
3/21/2025,191.66
3/20/2025,190.54
3/19/2025,195.57
3/18/2025,188.67
3/17/2025,194.5
3/14/2025,195.54
3/13/2025,191.36
3/12/2025,194.23
3/11/2025,190.09
3/10/2025,184.45
3/7/2025,194.96
3/6/2025,179.45
3/5/2025,191.58
3/4/2025,187.48
3/3/2025,187.37
2/28/2025,199.43
2/27/2025,197.8
2/26/2025,212.94
2/25/2025,202.54
2/24/2025,207.93
2/21/2025,218.66
2/20/2025,226.74
2/19/2025,228.73
2/18/2025,228.53
2/14/2025,233.04
2/13/2025,235.8
2/12/2025,236.35
2/11/2025,235.04
2/10/2025,235.04
2/7/2025,224.87
2/6/2025,231.36
2/5/2025,232
2/4/2025,222.43
2/3/2025,217.73
1/31/2025,221.27
1/30/2025,215.66
1/29/2025,206.35
1/28/2025,207.36
1/27/2025,202.13
1/24/2025,244.7
1/23/2025,240.28
1/22/2025,240.91
1/21/2025,240.31
1/17/2025,237.44
1/16/2025,229.41
1/15/2025,228
1/14/2025,224.7
1/13/2025,225.29
1/10/2025,224.31
1/8/2025,229.31
1/7/2025,228.64
1/6/2025,236.41
1/3/2025,232.55
1/2/2025,231.98
12/31/2024,231.84
12/30/2024,235.58
12/27/2024,241.75
12/26/2024,245.36
12/24/2024,239.68
12/23/2024,232.35
12/20/2024,220.79
12/19/2024,218.32
12/18/2024,223.62
12/17/2024,240.23
12/16/2024,250
12/13/2024,224.8
12/12/2024,180.66
12/11/2024,183.2
12/10/2024,171.81
12/9/2024,178.94
12/6/2024,179.53
12/5/2024,170.47
12/4/2024,170.56
12/3/2024,168.15
12/2/2024,166.51
11/29/2024,162.08
11/27/2024,159.67
11/26/2024,164.74
11/25/2024,164.82
11/22/2024,164.23
11/21/2024,163.94
11/20/2024,163.25
11/19/2024,165.35
11/18/2024,165.67
11/15/2024,164.84
11/14/2024,170.38
11/13/2024,173.58
11/12/2024,176.22
11/11/2024,178.91
11/8/2024,183.64
11/7/2024,183.81
11/6/2024,179.55
11/5/2024,173.9
11/4/2024,168.55
11/1/2024,168.92
10/31/2024,169.77
10/30/2024,176.64
10/29/2024,179.24
10/28/2024,172.02
10/25/2024,173
10/24/2024,171.35
10/23/2024,173.51
10/22/2024,179.38
10/21/2024,179.99
10/18/2024,179.89
10/17/2024,181.53
10/16/2024,176.82
10/15/2024,175.98
10/14/2024,182.31
10/11/2024,181.48
10/10/2024,185.69
10/9/2024,185.95
10/8/2024,180.73
10/7/2024,175.08
10/4/2024,176.64
10/3/2024,171.89
10/2/2024,170.66
10/1/2024,167.47
9/30/2024,172.5
9/27/2024,172.69
9/26/2024,178.09
9/25/2024,175.52
9/24/2024,174.84
9/23/2024,172.94
9/20/2024,171.1
9/19/2024,167.42
9/18/2024,161.67
9/17/2024,162.47
9/16/2024,164.02
9/13/2024,167.69
9/12/2024,164.56
9/11/2024,158.27
9/10/2024,148.21
9/9/2024,140.82
9/6/2024,136.99
9/5/2024,152.82
9/4/2024,154.12
9/3/2024,152.79
8/30/2024,162.82
8/29/2024,156.93
8/28/2024,158.18
8/27/2024,161.39
8/26/2024,159.62
8/23/2024,166.36
8/22/2024,162.34
8/21/2024,165.78
8/20/2024,165.95
8/19/2024,167.71
8/16/2024,165.72
8/15/2024,166.13
8/14/2024,157.69
8/13/2024,156.16
8/12/2024,148.62
8/9/2024,148.26
8/8/2024,145.74
8/7/2024,136.27
8/6/2024,143.92
8/5/2024,142.08
8/2/2024,143.82
8/1/2024,147.02
7/31/2024,160.68
7/30/2024,143.52
7/29/2024,150.22
7/26/2024,151.63
7/25/2024,149.26
7/24/2024,151.34
7/23/2024,163.77
7/22/2024,161.06
7/19/2024,157.35
7/18/2024,160.52
7/17/2024,155.98
7/16/2024,169.38
7/15/2024,171.42
7/12/2024,170.07
7/11/2024,170.6
7/10/2024,174.47
7/9/2024,173.33
7/8/2024,174.59
7/5/2024,170.33
7/3/2024,172.92
7/2/2024,165.75
7/1/2024,164.08
6/28/2024,160.55
6/27/2024,158.67
6/26/2024,159.2
6/25/2024,158.08
6/24/2024,159.22
6/21/2024,165.86
6/20/2024,173.46
6/18/2024,180.25
6/17/2024,182.89
6/14/2024,173.5
6/13/2024,167.9
6/12/2024,149.55
6/11/2024,146.1
6/10/2024,144.05
6/7/2024,140.66
6/6/2024,140.13
6/5/2024,141.31
6/4/2024,133.08
6/3/2024,132.19
5/31/2024,132.85
5/30/2024,136.41
5/29/2024,139.07
5/28/2024,141.24
5/24/2024,140.78
5/23/2024,139.33
5/22/2024,139.22
5/21/2024,139.92
5/20/2024,141.4
5/17/2024,139.53
5/16/2024,141.21
5/15/2024,143.62
5/14/2024,138
5/13/2024,133.75
5/10/2024,133.28
5/9/2024,130.57
5/8/2024,132.54
5/7/2024,130.31
5/6/2024,131.03
5/3/2024,127.81
5/2/2024,123.86
5/1/2024,124.29
4/30/2024,130.03
4/29/2024,133.86
4/26/2024,134.41
4/25/2024,129.44
4/24/2024,125.68
4/23/2024,124.92
4/22/2024,122.45
4/19/2024,120.47
4/18/2024,125.9
4/17/2024,128.26
4/16/2024,132.91
4/15/2024,131.07
4/12/2024,134.41
4/11/2024,138.25
4/10/2024,132.24
4/9/2024,133.41
4/8/2024,133.61
4/5/2024,133.94
4/4/2024,131.75
4/3/2024,136.32
4/2/2024,133.88
4/1/2024,135.03
3/28/2024,132.54
3/27/2024,131.87
3/26/2024,133.15
3/25/2024,135.16
3/22/2024,135.35
3/21/2024,134.8
3/20/2024,127.6
3/19/2024,123.8
3/18/2024,123.72
3/15/2024,123.55
3/14/2024,126.23
3/13/2024,125.79
3/12/2024,129.19
3/11/2024,129.31
3/8/2024,130.87
3/7/2024,140.7
3/6/2024,135
3/5/2024,134.27
3/4/2024,140.23
3/1/2024,139.92
2/29/2024,130.05
2/28/2024,128.94
2/27/2024,129.62
2/26/2024,130.91
2/23/2024,129.64
2/22/2024,130.49
2/21/2024,122.75
2/20/2024,122.65
2/16/2024,124.55
2/15/2024,126.51
2/14/2024,126.22
2/13/2024,125.17
2/12/2024,126.5
2/9/2024,128.34
2/8/2024,127.48
2/7/2024,125.71
2/6/2024,122.26
2/5/2024,124.31
2/2/2024,122.43
2/1/2024,120
1/31/2024,118
1/30/2024,120.82
1/29/2024,121.78
1/26/2024,120.49
1/25/2024,123
1/24/2024,125.39
1/23/2024,122.63
1/22/2024,122.05
1/19/2024,121.12
1/18/2024,114.39
1/17/2024,110.37
1/16/2024,111.5
1/12/2024,110.77
1/11/2024,110
1/10/2024,108.06
1/9/2024,108.25
1/8/2024,107.49
1/5/2024,104.93
1/4/2024,104.9
1/3/2024,105.86
1/2/2024,108.54
12/29/2023,111.63
12/28/2023,112.24
12/27/2023,112.62
12/26/2023,113.19
12/22/2023,112.2
12/21/2023,112.73
12/20/2023,111.04
12/19/2023,113.96
12/18/2023,114.7
12/15/2023,112.97
12/14/2023,110.65
12/13/2023,108.97
12/12/2023,107.23
12/11/2023,102.92
12/8/2023,94.43
12/7/2023,92.23
12/6/2023,90.36
12/5/2023,91.31
12/4/2023,92.4
12/1/2023,93
11/30/2023,92.57
11/29/2023,94.08
11/28/2023,94.64
11/27/2023,95.02
11/24/2023,97.89
11/22/2023,97.2
11/21/2023,98.12
11/20/2023,99.57
11/17/2023,97.77
11/16/2023,95.96
11/15/2023,97.54
11/14/2023,97.3
11/13/2023,94.69
11/10/2023,95.75
11/9/2023,91.14
11/8/2023,91.11
11/7/2023,89.78
11/6/2023,88.08
11/3/2023,88.27
11/2/2023,87.13
11/1/2023,85.29
10/31/2023,84.14
10/30/2023,84.13
10/27/2023,83.84
10/26/2023,82.68
10/25/2023,84.96
10/24/2023,88.11
10/23/2023,86.22
10/20/2023,85.36
10/19/2023,86.78
10/18/2023,88.7
10/17/2023,88.44
10/16/2023,90.26
10/13/2023,88.32
10/12/2023,90.56
10/11/2023,87.46
10/10/2023,85.84
10/9/2023,85.59
10/6/2023,84.53
10/5/2023,82.39
10/4/2023,82.38
10/3/2023,81.48
10/2/2023,83.5
9/29/2023,83.06
9/28/2023,83.2
9/27/2023,81.68
9/26/2023,81.62
9/25/2023,83.39
9/22/2023,82.91
9/21/2023,80.84
9/20/2023,83.06
9/19/2023,84.92
9/18/2023,85
9/15/2023,85.17
9/14/2023,87.16
9/13/2023,85.29
9/12/2023,84.45
9/11/2023,85.91
9/8/2023,85.75
9/7/2023,85.7
9/6/2023,87.23
9/5/2023,87.22
9/1/2023,87.25
8/31/2023,92.29
8/30/2023,89.23
8/29/2023,88.99
8/28/2023,86.11
8/25/2023,85.18
8/24/2023,85.45
8/23/2023,87.66
8/22/2023,85.58
8/21/2023,86.51
8/18/2023,82.58
8/17/2023,82.71
8/16/2023,83.3
8/15/2023,84.25
8/14/2023,85.41
8/11/2023,82.98
8/10/2023,84.29
8/9/2023,85.07
8/8/2023,88.32
8/7/2023,89.71
8/4/2023,88.17
8/3/2023,88.5
8/2/2023,89.23
8/1/2023,92
7/31/2023,89.86
7/28/2023,89.98
7/27/2023,89.35
7/26/2023,89.31
7/25/2023,91.8
7/24/2023,90.16
7/21/2023,89.68
7/20/2023,88.83
7/19/2023,90.14
7/18/2023,90.34
7/17/2023,91.04
7/14/2023,88.86
