Date,bac,,,,,
5/20/2025,44.69,,,,,
5/19/2025,44.77,,,,,
5/16/2025,44.69,,,,,
5/15/2025,44.38,,,,,
5/14/2025,44.74,,,,,
5/13/2025,44.28,,,,,
5/12/2025,43.36,,,,,
5/9/2025,41.79,,,,,
5/8/2025,41.6,,,,,
5/7/2025,40.93,,,,,
5/6/2025,40.84,,,,,
5/5/2025,41.12,,,,,
5/2/2025,41.07,,,,,
5/1/2025,40.17,,,,,
4/30/2025,39.88,,,,,
4/29/2025,39.99,,,,,
4/28/2025,39.78,,,,,
4/25/2025,39.69,,,,,
4/24/2025,39.58,,,,,
4/23/2025,38.75,,,,,
4/22/2025,38.32,,,,,
4/21/2025,36.92,,,,,
4/17/2025,37.41,,,,,
4/16/2025,37.33,,,,,
4/15/2025,37.99,,,,,
4/14/2025,36.67,,,,,
4/11/2025,35.95,,,,,
4/10/2025,35.85,,,,,
4/9/2025,37.15,,,,,
4/8/2025,35.03,,,,,
4/7/2025,35.58,,,,,
4/4/2025,34.39,,,,,
4/3/2025,37.22,,,,,
4/2/2025,41.85,,,,,
4/1/2025,41.49,,,,,
3/31/2025,41.73,,,,,
3/28/2025,41.25,,,,,
3/27/2025,42.56,,,,,
3/26/2025,42.82,,,,,
3/25/2025,43.28,,,,,
3/24/2025,43.07,,,,,
3/21/2025,42.47,,,,,
3/20/2025,42.48,,,,,
3/19/2025,42.21,,,,,
3/18/2025,41.65,,,,,
3/17/2025,41.44,,,,,
3/14/2025,40.89,,,,,
3/13/2025,39.67,,,,,
3/12/2025,39.91,,,,,
3/11/2025,39.61,,,,,
3/10/2025,39.83,,,,,
3/7/2025,41.4,,,,,
3/6/2025,41.46,,,,,
3/5/2025,42.29,,,,,
3/4/2025,42.67,,,,,
3/3/2025,45.56,,,,,
2/28/2025,46.1,,,,,
2/27/2025,44.12,,,,,
2/26/2025,43.94,,,,,
2/25/2025,43.94,,,,,
2/24/2025,44.46,,,,,
2/21/2025,44.81,,,,,
2/20/2025,45.3,,,,,
2/19/2025,46.01,,,,,
2/18/2025,46.53,,,,,
2/14/2025,46.96,,,,,
2/13/2025,46.33,,,,,
2/12/2025,46.21,,,,,
2/11/2025,46.79,,,,,
2/10/2025,46.67,,,,,
2/7/2025,47.4,,,,,
2/6/2025,47.74,,,,,
2/5/2025,47.11,,,,,
2/4/2025,46.71,,,,,
2/3/2025,46.21,,,,,
1/31/2025,46.3,,,,,
1/30/2025,46.72,,,,,
1/29/2025,46.75,,,,,
1/28/2025,46.84,,,,,
1/27/2025,47.09,,,,,
1/24/2025,46.52,,,,,
1/23/2025,46.39,,,,,
1/22/2025,45.79,,,,,
1/21/2025,46.66,,,,,
1/17/2025,46.53,,,,,
1/16/2025,46.64,,,,,
1/15/2025,47.1,,,,,
1/14/2025,45.78,,,,,
1/13/2025,45.06,,,,,
1/10/2025,45.11,,,,,
1/8/2025,46.21,,,,,
1/7/2025,46.08,,,,,
1/6/2025,45.4,,,,,
1/3/2025,44.81,,,,,
1/2/2025,44.29,,,,,
12/31/2024,43.95,,,,,
