Date,BLK
5/20/2025,997.71
5/19/2025,993.66
5/16/2025,989.71
5/15/2025,983.08
5/14/2025,967.06
5/13/2025,959.18
5/12/2025,958.03
5/9/2025,923.44
5/8/2025,928.64
5/7/2025,920.36
5/6/2025,914.97
5/5/2025,920.53
5/2/2025,929.2
5/1/2025,916.14
4/30/2025,914.26
4/29/2025,920.52
4/28/2025,913.74
4/25/2025,907.69
4/24/2025,916.26
4/23/2025,892.54
4/22/2025,887.22
4/21/2025,854
4/17/2025,875.78
4/16/2025,865.78
4/15/2025,888.44
4/14/2025,889.95
4/11/2025,878.78
4/10/2025,858.78
4/9/2025,897.08
4/8/2025,815.72
4/7/2025,817.5
4/4/2025,822.62
4/3/2025,887.65
4/2/2025,961.84
4/1/2025,944.08
3/31/2025,946.48
3/28/2025,946.7
3/27/2025,967.94
3/26/2025,968.24
3/25/2025,973.48
3/24/2025,963.5
3/21/2025,951.73
3/20/2025,954.17
3/19/2025,957.23
3/18/2025,958.62
3/17/2025,958
3/14/2025,928.7
3/13/2025,900.46
3/12/2025,910.06
3/11/2025,910.37
3/10/2025,915.26
3/7/2025,946.92
3/6/2025,959.64
3/5/2025,968.14
3/4/2025,951.79
3/3/2025,966.47
2/28/2025,977.78
2/27/2025,944.89
2/26/2025,953.77
2/25/2025,958.01
2/24/2025,952.8
2/21/2025,974.22
2/20/2025,989.38
2/19/2025,986.34
2/18/2025,977.86
2/14/2025,973.92
2/13/2025,980.3
2/12/2025,973.71
2/11/2025,988.2
2/10/2025,985.55
2/7/2025,992.04
2/6/2025,1006.62
2/5/2025,1014.5
2/4/2025,1015.66
2/3/2025,1013.75
1/31/2025,1075.5
1/30/2025,1071.52
1/29/2025,1052.61
1/28/2025,1051.2
1/27/2025,1029.94
1/24/2025,1020.45
1/23/2025,1017.73
1/22/2025,1006.34
1/21/2025,1012.09
1/17/2025,1004.96
1/16/2025,995.72
1/15/2025,1013.18
1/14/2025,963.17
1/13/2025,955.01
1/10/2025,955.64
1/8/2025,986.1
1/7/2025,980.76
1/6/2025,1012.74
1/3/2025,1020.83
1/2/2025,1017.4
12/31/2024,1025.11
12/30/2024,1027.43
12/27/2024,1044.18
12/26/2024,1054.28
12/24/2024,1054.83
12/23/2024,1039.7
12/20/2024,1028.69
12/19/2024,1016.33
12/18/2024,1020.3
12/17/2024,1049.22
12/16/2024,1064.65
12/13/2024,1056.54
12/12/2024,1058.82
12/11/2024,1065.26
12/10/2024,1057.07
12/9/2024,1046.38
12/6/2024,1042.87
12/5/2024,1044.78
12/4/2024,1035
12/3/2024,1039
12/2/2024,1020.11
11/29/2024,1022.8
11/27/2024,1019.45
11/26/2024,1026.48
11/25/2024,1031.49
11/22/2024,1036.46
11/21/2024,1028
11/20/2024,1024.67
11/19/2024,1028.11
11/18/2024,1049.97
11/15/2024,1047.37
11/14/2024,1047.08
11/13/2024,1030.98
11/12/2024,1036.35
11/11/2024,1053.84
11/8/2024,1039.28
11/7/2024,1036.06
11/6/2024,1029.82
11/5/2024,1014.35
11/4/2024,991.5
11/1/2024,985.08
10/31/2024,981.03
10/30/2024,979.87
10/29/2024,983.17
10/28/2024,986.22
10/25/2024,974.07
10/24/2024,984
10/23/2024,988.16
10/22/2024,1000.81
10/21/2024,1000.53
10/18/2024,1007.02
10/17/2024,1002.5
10/16/2024,1015.75
10/15/2024,1007
10/14/2024,991.72
10/11/2024,990.26
10/10/2024,955.59
10/9/2024,955.92
10/8/2024,949.07
10/7/2024,940.67
10/4/2024,949.19
