Date,BSX
5/20/2025,106.54
5/19/2025,106.66
5/16/2025,106.04
5/15/2025,104.86
5/14/2025,102.95
5/13/2025,102.95
5/12/2025,102.87
5/9/2025,102.86
5/8/2025,103.29
5/7/2025,104.8
5/6/2025,104.12
5/5/2025,104.24
5/2/2025,104.93
5/1/2025,103.19
4/30/2025,102.87
4/29/2025,102.74
4/28/2025,102.18
4/25/2025,101.9
4/24/2025,101.14
4/23/2025,98.92
4/22/2025,95.05
4/21/2025,93.58
4/17/2025,95.12
4/16/2025,95.25
4/15/2025,94.23
4/14/2025,94.27
4/11/2025,93.67
4/10/2025,92.64
4/9/2025,96.77
4/8/2025,90.64
4/7/2025,91.54
4/4/2025,89.7
4/3/2025,98.5
4/2/2025,100.05
4/1/2025,101.24
3/31/2025,100.88
3/28/2025,99.36
3/27/2025,100.8
3/26/2025,102.34
3/25/2025,103.08
3/24/2025,102.67
3/21/2025,100.69
3/20/2025,101.51
3/19/2025,100.73
3/18/2025,99.22
3/17/2025,98.9
3/14/2025,97.16
3/13/2025,95.37
3/12/2025,96.42
3/11/2025,95.52
3/10/2025,94.13
3/7/2025,99.13
3/6/2025,100.8
3/5/2025,104.71
3/4/2025,103.61
3/3/2025,104.87
2/28/2025,103.79
2/27/2025,100.8
2/26/2025,101.56
2/25/2025,100.72
2/24/2025,104.39
2/21/2025,104.49
2/20/2025,105.36
2/19/2025,105.67
2/18/2025,105.35
2/14/2025,106.11
2/13/2025,106.14
2/12/2025,105.77
2/11/2025,105.98
2/10/2025,106.18
2/7/2025,105.25
2/6/2025,105.02
2/5/2025,104.97
2/4/2025,103.54
2/3/2025,103.07
1/31/2025,102.36
1/30/2025,103.04
1/29/2025,102.71
1/28/2025,102.32
1/27/2025,102.27
1/24/2025,101.94
1/23/2025,101.64
1/22/2025,100.31
1/21/2025,100.91
1/17/2025,98.66
1/16/2025,98.17
1/15/2025,96.89
1/14/2025,95.65
1/13/2025,94.61
1/10/2025,94.88
1/8/2025,95.95
1/7/2025,91.99
1/6/2025,91.29
1/3/2025,90.69
1/2/2025,89.38
12/31/2024,89.32
12/30/2024,89.68
12/27/2024,90.66
12/26/2024,91.45
12/24/2024,91.07
12/23/2024,89.86
12/20/2024,88.95
12/19/2024,88.66
12/18/2024,88.03
12/17/2024,90.43
12/16/2024,90.46
12/13/2024,90.11
12/12/2024,90.42
12/11/2024,90.56
12/10/2024,90.2
12/9/2024,88.72
12/6/2024,90.07
12/5/2024,90.53
12/4/2024,90.84
12/3/2024,90.47
12/2/2024,90.43
11/29/2024,90.66
11/27/2024,90.75
11/26/2024,90.21
11/25/2024,89.25
11/22/2024,90
11/21/2024,91.5
11/20/2024,90.17
11/19/2024,90.33
11/18/2024,90.45
11/15/2024,86.99
11/14/2024,87.59
11/13/2024,88.77
11/12/2024,88.72
11/11/2024,88.48
11/8/2024,88.25
11/7/2024,86.88
11/6/2024,86.44
11/5/2024,85.54
11/4/2024,84.72
11/1/2024,83.62
10/31/2024,84.02
10/30/2024,83.99
10/29/2024,84.56
10/28/2024,84.76
10/25/2024,84.73
10/24/2024,85.1
10/23/2024,87.45
10/22/2024,88.01
10/21/2024,88.05
10/18/2024,88.07
10/17/2024,86.42
10/16/2024,87
10/15/2024,86.77
10/14/2024,87.55
10/11/2024,87.1
10/10/2024,86.2
10/9/2024,86.7
10/8/2024,85.84
10/7/2024,84.41
10/4/2024,84.54
10/3/2024,83.82
10/2/2024,84.49
10/1/2024,84.14
9/30/2024,83.8
9/27/2024,83.35
9/26/2024,83.08
9/25/2024,83.5
9/24/2024,83.51
9/23/2024,84
9/20/2024,83.92
9/19/2024,83.71
9/18/2024,82.57
9/17/2024,82.52
9/16/2024,83.51
9/13/2024,83.31
9/12/2024,83.83
9/11/2024,82.94
9/10/2024,83.06
9/9/2024,82.65
9/6/2024,81.6
9/5/2024,81.37
9/4/2024,81.96
9/3/2024,81.14
8/30/2024,81.79
8/29/2024,80.67
8/28/2024,79.52
8/27/2024,79.83
8/26/2024,79.47
8/23/2024,79.17
8/22/2024,79.58
8/21/2024,78.81
8/20/2024,78.48
8/19/2024,78.68
8/16/2024,78.25
8/15/2024,77.58
8/14/2024,76.42
8/13/2024,75.92
8/12/2024,75.94
8/9/2024,76.19
8/8/2024,75.55
8/7/2024,73.78
8/6/2024,73.76
8/5/2024,72.96
8/2/2024,74.5
8/1/2024,75.16
7/31/2024,73.88
7/30/2024,74.03
7/29/2024,75.59
7/26/2024,74.92
7/25/2024,74.26
7/24/2024,77.76
7/23/2024,78.59
7/22/2024,78.27
7/19/2024,77.56
7/18/2024,75.55
7/17/2024,77.41
7/16/2024,78.14
7/15/2024,78.02
7/12/2024,77.69
7/11/2024,76.89
7/10/2024,77.11
7/9/2024,76.51
7/8/2024,76.11
7/5/2024,76.4
7/3/2024,76.11
7/2/2024,76.55
7/1/2024,76.41
6/28/2024,77.01
6/27/2024,77
6/26/2024,77.1
6/25/2024,77.51
6/24/2024,76.71
6/21/2024,77.71
6/20/2024,77
6/18/2024,76.31
6/17/2024,76.19
6/14/2024,76.76
6/13/2024,76.96
6/12/2024,77.41
6/11/2024,77.15
6/10/2024,77.42
6/7/2024,77.11
6/6/2024,76.12
6/5/2024,75.89
6/4/2024,75.92
6/3/2024,75.5
5/31/2024,75.57
5/30/2024,75
5/29/2024,74.98
5/28/2024,75.17
5/24/2024,75.63
5/23/2024,74.38
5/22/2024,75.37
5/21/2024,75.67
5/20/2024,75.36
5/17/2024,74.65
5/16/2024,74.55
5/15/2024,74.45
5/14/2024,73.49
5/13/2024,72.81
5/10/2024,73.69
5/9/2024,74.1
5/8/2024,72.72
5/7/2024,73.43
5/6/2024,72.55
5/3/2024,72.85
5/2/2024,72.03
5/1/2024,72.21
4/30/2024,71.87
4/29/2024,72.5
4/26/2024,73.17
4/25/2024,73.26
4/24/2024,72.91
4/23/2024,68.99
4/22/2024,68.02
4/19/2024,67.33
4/18/2024,67.42
4/17/2024,67.96
4/16/2024,68.12
4/15/2024,67.44
4/12/2024,68.07
4/11/2024,68.84
4/10/2024,68.65
4/9/2024,68.66
4/8/2024,68.69
4/5/2024,68.56
4/4/2024,67.75
4/3/2024,68.13
4/2/2024,67.45
4/1/2024,68.1
3/28/2024,68.49
3/27/2024,68.62
3/26/2024,67.94
3/25/2024,67.29
3/22/2024,67.62
3/21/2024,67.56
3/20/2024,67.44
3/19/2024,67.79
3/18/2024,67.24
3/15/2024,66.23
3/14/2024,66.86
3/13/2024,66.04
3/12/2024,67.49
3/11/2024,66.12
3/8/2024,67.66
3/7/2024,67.82
3/6/2024,67.42
3/5/2024,67.02
3/4/2024,67.43
3/1/2024,67.13
2/29/2024,66.21
2/28/2024,66.99
2/27/2024,66.43
2/26/2024,66.67
2/23/2024,67
2/22/2024,66.74
2/21/2024,65.75
2/20/2024,66.22
2/16/2024,65.82
2/15/2024,66.09
2/14/2024,65.95
2/13/2024,64.97
2/12/2024,64.99
2/9/2024,65.5
2/8/2024,65.02
2/7/2024,65.23
2/6/2024,64.79
2/5/2024,64.46
2/2/2024,64.37
2/1/2024,64.82
1/31/2024,63.26
1/30/2024,61.42
1/29/2024,61.31
1/26/2024,61.13
1/25/2024,60.83
1/24/2024,59.92
1/23/2024,60.62
1/22/2024,60.74
1/19/2024,60.94
1/18/2024,61.05
1/17/2024,60.96
1/16/2024,60.25
1/12/2024,59.94
1/11/2024,59.61
1/10/2024,59.51
1/9/2024,59.23
1/8/2024,58.42
1/5/2024,58.16
1/4/2024,58.17
1/3/2024,57.6
1/2/2024,57.84
12/29/2023,57.81
12/28/2023,56.28
12/27/2023,56.02
12/26/2023,55.99
12/22/2023,55.9
12/21/2023,55.65
12/20/2023,54.98
12/19/2023,55.82
12/18/2023,55.51
12/15/2023,55.81
12/14/2023,56.18
12/13/2023,56.48
12/12/2023,55.95
12/11/2023,55.26
12/8/2023,54.95
12/7/2023,55.03
12/6/2023,54.82
12/5/2023,54.88
12/4/2023,54.77
12/1/2023,56.14
11/30/2023,55.89
11/29/2023,55.44
11/28/2023,54.93
11/27/2023,55.69
11/24/2023,55.63
11/22/2023,55.43
11/21/2023,55.32
11/20/2023,54.46
11/17/2023,54.34
11/16/2023,54.67
11/15/2023,53.85
11/14/2023,54.02
11/13/2023,53.71
11/10/2023,51.56
11/9/2023,51.43
11/8/2023,52.11
11/7/2023,52.17
11/6/2023,52.81
11/3/2023,52.53
11/2/2023,52.52
11/1/2023,51.66
10/31/2023,51.19
10/30/2023,50.05
10/27/2023,49.52
10/26/2023,49.78
10/25/2023,49.99
10/24/2023,50.96
10/23/2023,50.13
10/20/2023,50.05
10/19/2023,50.55
10/18/2023,50.71
10/17/2023,50.46
10/16/2023,50.1
10/13/2023,49.52
10/12/2023,48.64
10/11/2023,50.91
10/10/2023,53.8
10/9/2023,52.4
10/6/2023,52.12
10/5/2023,51.68
10/4/2023,51.55
10/3/2023,51.54
10/2/2023,52.81
9/29/2023,52.8
9/28/2023,53.37
9/27/2023,52.1
9/26/2023,52.83
9/25/2023,53.8
9/22/2023,53.6
9/21/2023,53.97
9/20/2023,54.1
9/19/2023,53.03
9/18/2023,53
9/15/2023,52.9
9/14/2023,52.92
9/13/2023,53.2
9/12/2023,53.42
9/11/2023,54.56
9/8/2023,53.87
9/7/2023,53.89
9/6/2023,53.86
9/5/2023,53.3
9/1/2023,53.62
8/31/2023,53.94
8/30/2023,54.27
8/29/2023,54.68
8/28/2023,53.79
8/25/2023,50.76
8/24/2023,50.43
8/23/2023,50.35
8/22/2023,50.41
8/21/2023,50.42
8/18/2023,50.19
8/17/2023,50.94
8/16/2023,51.46
8/15/2023,51.68
8/14/2023,51.33
8/11/2023,51.03
8/10/2023,50.86
8/9/2023,51.06
8/8/2023,50.58
8/7/2023,50.73
8/4/2023,50.72
8/3/2023,50.88
8/2/2023,50.62
8/1/2023,51.89
7/31/2023,51.85
7/28/2023,51.69
7/27/2023,52.64
7/26/2023,52.4
7/25/2023,52.41
7/24/2023,52.17
7/21/2023,53.16
7/20/2023,53.46
7/19/2023,52.34
7/18/2023,52.81
7/17/2023,52.61
7/14/2023,53.03
7/13/2023,52.79
7/12/2023,52.46
7/11/2023,52.45
7/10/2023,52.7
7/7/2023,52.29
7/6/2023,52.88
7/5/2023,53.25
7/3/2023,53.54
6/30/2023,54.09
6/29/2023,53.29
6/28/2023,53.45
6/27/2023,53.49
6/26/2023,53.5
6/23/2023,53.97
6/22/2023,54.64
6/21/2023,53.96
6/20/2023,54.04
6/16/2023,54.32
6/15/2023,53.98
6/14/2023,53.31
6/13/2023,51.16
6/12/2023,51.2
6/9/2023,51.28
6/8/2023,51.07
6/7/2023,50.7
6/6/2023,50.67
6/5/2023,51.4
6/2/2023,51.82
6/1/2023,51.5
5/31/2023,51.48
5/30/2023,50.49
5/26/2023,51.06
5/25/2023,51.54
5/24/2023,51.93
5/23/2023,51.5
5/22/2023,53.68
5/19/2023,53.64
5/18/2023,53.44
5/17/2023,53.41
5/16/2023,53.77
5/15/2023,53.68
5/12/2023,53.34
5/11/2023,53.39
5/10/2023,53.22
5/9/2023,53.09
5/8/2023,53.12
5/5/2023,51.54
5/4/2023,51.94
5/3/2023,52.69
5/2/2023,52.9
5/1/2023,52.8
4/28/2023,52.12
4/27/2023,52.03
4/26/2023,51.1
4/25/2023,51.11
4/24/2023,51.34
4/21/2023,51.11
4/20/2023,52.62
4/19/2023,52.89
4/18/2023,51.61
4/17/2023,51.74
4/14/2023,51.77
4/13/2023,51.5
4/12/2023,51.11
4/11/2023,50.73
4/10/2023,50.34
4/6/2023,50.08
4/5/2023,50.74
4/4/2023,50.07
4/3/2023,49.72
3/31/2023,50.03
3/30/2023,49.6
3/29/2023,49.08
3/28/2023,48.6
3/27/2023,48.33
3/24/2023,48.22
3/23/2023,47.94
3/22/2023,48.07
3/21/2023,48.84
3/20/2023,48.83
3/17/2023,47.95
3/16/2023,48.3
3/15/2023,47.97
3/14/2023,48.31
3/13/2023,47.6
3/10/2023,46.48
3/9/2023,47.06
3/8/2023,46.89
3/7/2023,47.02
3/6/2023,47.74
3/3/2023,47.82
3/2/2023,47.25
3/1/2023,46.82
2/28/2023,46.72
2/27/2023,46.82
2/24/2023,47.01
2/23/2023,47.18
2/22/2023,46.61
2/21/2023,46.23
2/17/2023,46.54
2/16/2023,46.48
2/15/2023,47.29
2/14/2023,47.28
2/13/2023,47.69
2/10/2023,47.23
2/9/2023,47.06
2/8/2023,47.59
2/7/2023,48.09
2/6/2023,47.66
2/3/2023,48.5
2/2/2023,48.07
2/1/2023,47.54
1/31/2023,46.25
1/30/2023,45.81
1/27/2023,45.91
1/26/2023,46.35
1/25/2023,46.12
1/24/2023,45.84
1/23/2023,45.85
1/20/2023,45.62
1/19/2023,45.46
1/18/2023,45.09
1/17/2023,46.04
1/13/2023,46.53
1/12/2023,46.71
1/11/2023,45.81
1/10/2023,46.06
1/9/2023,45.59
1/6/2023,46.33
1/5/2023,45.76
1/4/2023,46.5
1/3/2023,46.01
12/30/2022,46.27
12/29/2022,46.35
12/28/2022,45.78
12/27/2022,46.24
12/23/2022,46.06
12/22/2022,46.15
12/21/2022,46.08
12/20/2022,45.84
12/19/2022,45.8
12/16/2022,45.81
12/15/2022,46.32
12/14/2022,47.18
12/13/2022,47.2
12/12/2022,47.13
12/9/2022,46.23
12/8/2022,46.32
12/7/2022,45.63
12/6/2022,45.16
12/5/2022,45.42
12/2/2022,46.6
12/1/2022,46.12
11/30/2022,45.27
11/29/2022,44.5
11/28/2022,43.79
11/25/2022,44.15
11/23/2022,43.89
11/22/2022,43.54
11/21/2022,42.94
11/18/2022,42.96
11/17/2022,42.2
11/16/2022,42.98
11/15/2022,42.42
11/14/2022,42.24
11/11/2022,42.52
11/10/2022,43.76
11/9/2022,42.06
11/8/2022,41.92
11/7/2022,41.96
11/4/2022,41.59
11/3/2022,41.53
11/2/2022,41.93
11/1/2022,42.76
10/31/2022,43.11
10/28/2022,43.16
10/27/2022,41.58
10/26/2022,41.79
10/25/2022,41.3
10/24/2022,40.98
10/21/2022,40.57
10/20/2022,40.23
10/19/2022,40.96
10/18/2022,41.08
10/17/2022,40.86
10/14/2022,39.98
10/13/2022,40.35
10/12/2022,39.6
10/11/2022,39.56
10/10/2022,39.64
10/7/2022,39.76
10/6/2022,40.65
10/5/2022,41.3
10/4/2022,41.03
10/3/2022,39.88
9/30/2022,38.73
9/29/2022,39.34
9/28/2022,39.13
9/27/2022,38.14
9/26/2022,38.36
9/23/2022,38.9
9/22/2022,39.3
9/21/2022,39.76
9/20/2022,40.43
9/19/2022,41.18
9/16/2022,41.7
9/15/2022,42.2
9/14/2022,42.07
9/13/2022,42.18
9/12/2022,43.46
9/9/2022,42.94
9/8/2022,42.71
9/7/2022,41.47
9/6/2022,40.38
9/2/2022,40.49
9/1/2022,40.99
8/31/2022,40.31
8/30/2022,40.04
8/29/2022,40.39
8/26/2022,40.52
8/25/2022,41.78
8/24/2022,41.15
8/23/2022,40.86
8/22/2022,41.26
8/19/2022,42.02
8/18/2022,42.63
8/17/2022,42.43
8/16/2022,42.35
8/15/2022,42.15
8/12/2022,42.33
8/11/2022,41.76
8/10/2022,41.86
8/9/2022,41.03
8/8/2022,40.97
8/5/2022,40.94
8/4/2022,41.23
8/3/2022,41.62
8/2/2022,41.46
8/1/2022,41.05
7/29/2022,41.05
7/28/2022,41.16
7/27/2022,40.31
7/26/2022,37.96
7/25/2022,38
7/22/2022,38.12
7/21/2022,38.12
7/20/2022,37.28
7/19/2022,37.71
7/18/2022,37.17
7/15/2022,37.55
7/14/2022,36.71
7/13/2022,36.77
7/12/2022,36.88
7/11/2022,37.51
7/8/2022,37.84
7/7/2022,37.85
7/6/2022,37.66
7/5/2022,37.76
7/1/2022,38.01
6/30/2022,37.27
6/29/2022,37.8
6/28/2022,37.5
6/27/2022,37.82
6/24/2022,38.02
6/23/2022,36.94
6/22/2022,37.03
6/21/2022,36.3
6/17/2022,36.01
6/16/2022,35.51
6/15/2022,36.03
6/14/2022,35.24
6/13/2022,36.41
6/10/2022,37.23
6/9/2022,37.97
6/8/2022,39.11
6/7/2022,39.58
6/6/2022,39.38
6/3/2022,39.91
6/2/2022,40.67
6/1/2022,39.92
5/31/2022,41.01
5/27/2022,41.2
5/26/2022,40.14
5/25/2022,40.09
5/24/2022,40.15
5/23/2022,39.89
5/20/2022,39.22
5/19/2022,39.49
5/18/2022,40.23
5/17/2022,41.32
5/16/2022,39.82
5/13/2022,39.66
5/12/2022,38.79
5/11/2022,38.74
5/10/2022,38.65
5/9/2022,38.29
5/6/2022,40.85
5/5/2022,42.03
5/4/2022,42.75
5/3/2022,41.77
5/2/2022,41.63
4/29/2022,42.11
4/28/2022,42.73
4/27/2022,43.06
4/26/2022,42.6
4/25/2022,44.59
4/22/2022,43.9
4/21/2022,46.31
4/20/2022,47.1
4/19/2022,45.72
4/18/2022,43.74
4/14/2022,44.25
4/13/2022,44.43
4/12/2022,43.76
4/11/2022,44.22
4/8/2022,44.84
4/7/2022,44.96
4/6/2022,44.58
4/5/2022,44.35
4/4/2022,44.16
4/1/2022,44.99
3/31/2022,44.29
3/30/2022,44.7
3/29/2022,44.85
3/28/2022,44.27
3/25/2022,43.5
3/24/2022,42.87
3/23/2022,42.3
3/22/2022,43.74
3/21/2022,44.32
3/18/2022,44.22
3/17/2022,44.21
3/16/2022,43.84
3/15/2022,42.66
3/14/2022,41.9
3/11/2022,41.7
3/10/2022,41.74
3/9/2022,42.07
3/8/2022,40.9
3/7/2022,42.55
3/4/2022,43.96
3/3/2022,43.96
3/2/2022,43.9
3/1/2022,43.36
2/28/2022,44.17
2/25/2022,45.1
2/24/2022,43.95
2/23/2022,43.71
2/22/2022,42.98
2/18/2022,42.55
2/17/2022,42.83
2/16/2022,44.19
2/15/2022,44.01
2/14/2022,42.73
2/11/2022,43.11
2/10/2022,43.75
2/9/2022,44.75
2/8/2022,44.16
2/7/2022,42.91
2/4/2022,42.77
2/3/2022,42.61
2/2/2022,41.44
2/1/2022,43.5
1/31/2022,42.9
1/28/2022,42.74
1/27/2022,43.23
1/26/2022,43.04
1/25/2022,42.51
1/24/2022,42.66
1/21/2022,42.97
1/20/2022,43.45
1/19/2022,44.05
1/18/2022,44.22
1/14/2022,44.86
1/13/2022,44.57
1/12/2022,44.41
1/11/2022,43.4
1/10/2022,42.41
1/7/2022,42.11
1/6/2022,42.59
1/5/2022,43.05
1/4/2022,43.64
1/3/2022,43.12
12/31/2021,42.48
12/30/2021,42.99
12/29/2021,43.17
12/28/2021,43.24
12/27/2021,43.12
12/23/2021,42.72
12/22/2021,42.16
12/21/2021,41.11
12/20/2021,39.5
12/17/2021,40.86
12/16/2021,40.43
12/15/2021,40.24
12/14/2021,40.85
12/13/2021,41.43
12/10/2021,41.17
12/9/2021,41.28
12/8/2021,41.66
12/7/2021,41.4
12/6/2021,40.7
12/3/2021,39.46
12/2/2021,39.6
12/1/2021,38.14
11/30/2021,38.07
11/29/2021,38.59
11/26/2021,38.57
11/24/2021,40.7
11/23/2021,40.23
11/22/2021,40.7
11/19/2021,41.03
11/18/2021,41.21
11/17/2021,41.61
11/16/2021,41.42
11/15/2021,41.34
11/12/2021,42.07
11/11/2021,41.96
11/10/2021,42.45
11/9/2021,42.79
11/8/2021,43.35
11/5/2021,43.16
11/4/2021,42.5
11/3/2021,42.91
11/2/2021,43.21
11/1/2021,42.8
10/29/2021,43.13
10/28/2021,43.24
10/27/2021,43.73
10/26/2021,44.32
10/25/2021,44.49
10/22/2021,44.84
10/21/2021,44.87
10/20/2021,44.47
10/19/2021,44.13
10/18/2021,42.8
10/15/2021,43.4
10/14/2021,43.25
10/13/2021,41.79
10/12/2021,42.09
10/11/2021,42.14
10/8/2021,43.16
10/7/2021,43.62
10/6/2021,42.86
10/5/2021,42.44
10/4/2021,42.41
10/1/2021,43.8
9/30/2021,43.39
9/29/2021,43.89
9/28/2021,43.67
9/27/2021,44.46
9/24/2021,44.7
9/23/2021,45
9/22/2021,44.31
9/21/2021,43.36
9/20/2021,43.64
9/17/2021,44.37
9/16/2021,44.9
9/15/2021,45.01
9/14/2021,44.85
9/13/2021,44.21
9/10/2021,44.46
9/9/2021,45.41
9/8/2021,45.51
9/7/2021,45.1
9/3/2021,44.92
9/2/2021,45.06
9/1/2021,45.58
8/31/2021,45.15
8/30/2021,44.83
8/27/2021,44.8
8/26/2021,44.66
8/25/2021,44.81
8/24/2021,44.85
8/23/2021,43.99
8/20/2021,44.44
8/19/2021,44.27
8/18/2021,44.09
8/17/2021,45.15
8/16/2021,44.66
8/13/2021,44.33
8/12/2021,44.07
8/11/2021,43.63
8/10/2021,42.65
8/9/2021,43.81
8/6/2021,44.7
8/5/2021,44.65
8/4/2021,44.26
8/3/2021,45.54
8/2/2021,45.88
7/30/2021,45.6
7/29/2021,45.32
7/28/2021,45.43
7/27/2021,45.51
7/26/2021,43.97
7/23/2021,44.12
7/22/2021,43.55
7/21/2021,43.58
7/20/2021,42.79
7/19/2021,41.23
7/16/2021,42.1
7/15/2021,42.16
7/14/2021,42.74
7/13/2021,43.06
7/12/2021,43.49
7/9/2021,43.59
7/8/2021,43.34
7/7/2021,43.93
7/6/2021,43.62
7/2/2021,43.92
7/1/2021,43.36
6/30/2021,42.76
6/29/2021,43.23
6/28/2021,43.33
6/25/2021,44.1
6/24/2021,43.71
6/23/2021,43.79
6/22/2021,43.83
6/21/2021,43.6
6/18/2021,43.02
6/17/2021,43.35
6/16/2021,42.78
6/15/2021,42.75
6/14/2021,42.54
6/11/2021,42.91
6/10/2021,42.84
6/9/2021,42.33
6/8/2021,42.02
6/7/2021,42.14
6/4/2021,42.03
6/3/2021,41.35
6/2/2021,41.61
6/1/2021,42.93
5/28/2021,42.55
5/27/2021,41.96
5/26/2021,41.83
5/25/2021,43.03
5/24/2021,42.8
5/21/2021,42.11
5/20/2021,41.92
5/19/2021,41.43
5/18/2021,41.77
5/17/2021,41.72
5/14/2021,41.55
5/13/2021,41.61
5/12/2021,41.35
5/11/2021,42.53
5/10/2021,43.25
5/7/2021,43.13
5/6/2021,43.04
5/5/2021,43.09
5/4/2021,43.33
5/3/2021,43.63
4/30/2021,43.6
4/29/2021,44.1
4/28/2021,44.24
4/27/2021,42.41
4/26/2021,42.27
4/23/2021,42.73
4/22/2021,42.57
4/21/2021,42.31
4/20/2021,41.13
4/19/2021,40.88
4/16/2021,40.91
4/15/2021,40.86
4/14/2021,39.67
4/13/2021,39.41
4/12/2021,39.34
4/9/2021,39.32
4/8/2021,38.72
4/7/2021,38.85
4/6/2021,38.95
4/5/2021,39.04
4/1/2021,38.58
3/31/2021,38.65
3/30/2021,38.96
3/29/2021,38.59
3/26/2021,38.22
3/25/2021,37.92
3/24/2021,37.58
3/23/2021,37.24
3/22/2021,38.23
3/19/2021,38.17
3/18/2021,38.19
3/17/2021,38.88
3/16/2021,38.86
3/15/2021,39.4
3/12/2021,38.85
3/11/2021,38.65
3/10/2021,39.34
3/9/2021,39.55
3/8/2021,39.52
3/5/2021,39.54
3/4/2021,37.93
3/3/2021,38.82
3/2/2021,38.76
3/1/2021,38.9
