Date,ET
5/20/2025,18.14
5/19/2025,18
5/16/2025,17.95
5/15/2025,17.97
5/14/2025,18.16
5/13/2025,18
5/12/2025,17.44
5/9/2025,17.21
5/8/2025,17.37
5/7/2025,16.89
5/6/2025,15.81
5/5/2025,16.19
5/2/2025,16.67
5/1/2025,16.53
4/30/2025,16.54
4/29/2025,17.04
4/28/2025,17.28
4/25/2025,17.45
4/24/2025,17.59
4/23/2025,17.1
4/22/2025,16.98
4/21/2025,16.56
4/17/2025,17.27
4/16/2025,16.92
4/15/2025,17.11
4/14/2025,16.82
4/11/2025,16.33
4/10/2025,15.91
4/9/2025,16.67
4/8/2025,15.65
4/7/2025,15.87
4/4/2025,16.16
4/3/2025,17.73
4/2/2025,18.93
4/1/2025,18.73
3/31/2025,18.59
3/28/2025,18.71
3/27/2025,18.88
3/26/2025,18.93
3/25/2025,18.88
3/24/2025,18.88
3/21/2025,18.6
3/20/2025,18.85
3/19/2025,18.94
3/18/2025,18.68
3/17/2025,18.9
3/14/2025,18.73
3/13/2025,18.17
3/12/2025,18.4
3/11/2025,17.83
3/10/2025,17.26
3/7/2025,17.46
3/6/2025,17.7
3/5/2025,18.2
3/4/2025,18.47
3/3/2025,19.03
2/28/2025,19.29
2/27/2025,18.94
2/26/2025,19.16
2/25/2025,18.92
2/24/2025,18.97
2/21/2025,19.39
2/20/2025,19.94
2/19/2025,20.12
2/18/2025,20.3
2/14/2025,19.99
2/13/2025,19.82
2/12/2025,19.65
2/11/2025,19.81
2/10/2025,20.09
2/7/2025,19.93
2/6/2025,20.37
2/5/2025,20.79
2/4/2025,20.77
2/3/2025,20.76
1/31/2025,20.48
1/30/2025,21.08
1/29/2025,20.53
1/28/2025,20.35
1/27/2025,19.81
1/24/2025,21.05
1/23/2025,21.06
1/22/2025,20.92
1/21/2025,20.91
1/17/2025,20.29
1/16/2025,20.25
1/15/2025,20.04
1/14/2025,19.93
1/13/2025,19.47
1/10/2025,19.42
1/8/2025,19.73
1/7/2025,19.49
1/6/2025,19.62
1/3/2025,19.64
1/2/2025,19.71
12/31/2024,19.59
12/30/2024,19.57
12/27/2024,19.28
12/26/2024,19.26
12/24/2024,19.6
12/23/2024,19.04
12/20/2024,18.86
12/19/2024,18.27
12/18/2024,18.2
12/17/2024,18.64
12/16/2024,18.7
12/13/2024,19.04
12/12/2024,19.21
12/11/2024,19.18
12/10/2024,18.74
12/9/2024,18.84
12/6/2024,19.26
12/5/2024,19.07
12/4/2024,18.98
12/3/2024,19.26
12/2/2024,19.42
11/29/2024,19.86
11/27/2024,19.42
11/26/2024,19.2
11/25/2024,18.97
11/22/2024,19.07
11/21/2024,18.97
11/20/2024,18.28
11/19/2024,17.96
11/18/2024,17.58
11/15/2024,17.29
11/14/2024,17.15
11/13/2024,17.1
11/12/2024,17.05
11/11/2024,17.24
11/8/2024,17.3
11/7/2024,17.41
11/6/2024,17.42
11/5/2024,16.9
11/4/2024,16.51
11/1/2024,16.43
10/31/2024,16.48
10/30/2024,16.47
10/29/2024,16.38
10/28/2024,16.4
10/25/2024,16.45
10/24/2024,16.4
10/23/2024,16.38
10/22/2024,16.38
10/21/2024,16.4
10/18/2024,16.41
10/17/2024,16.49
10/16/2024,16.4
10/15/2024,16.37
10/14/2024,16.55
10/11/2024,16.52
10/10/2024,16.36
10/9/2024,16.27
10/8/2024,16.17
10/7/2024,16.22
10/4/2024,16.3
10/3/2024,16.31
10/2/2024,16.05
10/1/2024,16.1
9/30/2024,16.05
9/27/2024,16.07
9/26/2024,15.92
9/25/2024,16.2
9/24/2024,16.21
9/23/2024,16.28
9/20/2024,16.2
9/19/2024,16.17
9/18/2024,16.11
9/17/2024,16.02
9/16/2024,16.18
9/13/2024,16.17
9/12/2024,16
9/11/2024,15.87
9/10/2024,15.83
9/9/2024,15.81
9/6/2024,15.89
9/5/2024,16.02
9/4/2024,15.92
9/3/2024,16.03
8/30/2024,16.1
8/29/2024,15.96
8/28/2024,15.88
8/27/2024,15.91
8/26/2024,16.11
8/23/2024,16.15
8/22/2024,15.95
8/21/2024,16.02
8/20/2024,16.06
8/19/2024,16.3
8/16/2024,16.3
8/15/2024,15.99
8/14/2024,15.97
8/13/2024,15.58
8/12/2024,15.55
8/9/2024,15.66
8/8/2024,16.25
8/7/2024,15.62
8/6/2024,15.99
8/5/2024,15.43
8/2/2024,15.95
8/1/2024,16.19
7/31/2024,16.27
7/30/2024,16.21
7/29/2024,16.02
7/26/2024,16.27
7/25/2024,16.13
7/24/2024,16.18
7/23/2024,16.4
7/22/2024,16.38
7/19/2024,16.44
7/18/2024,16.35
7/17/2024,16.11
7/16/2024,16.36
7/15/2024,16.39
7/12/2024,16.25
7/11/2024,16.31
7/10/2024,16.28
7/9/2024,16.12
7/8/2024,16.09
7/5/2024,16.18
7/3/2024,16.33
7/2/2024,16.4
7/1/2024,16.36
6/28/2024,16.22
6/27/2024,16.03
6/26/2024,15.92
6/25/2024,16
6/24/2024,15.91
6/21/2024,15.72
6/20/2024,15.7
6/18/2024,15.48
6/17/2024,15.32
6/14/2024,15.16
6/13/2024,15.3
6/12/2024,15.48
6/11/2024,15.57
6/10/2024,15.7
6/7/2024,15.48
6/6/2024,15.45
6/5/2024,15.38
6/4/2024,15.37
6/3/2024,15.38
5/31/2024,15.67
5/30/2024,15.54
5/29/2024,15.43
5/28/2024,15.49
5/24/2024,15.44
5/23/2024,15.41
5/22/2024,15.73
5/21/2024,15.93
5/20/2024,16.13
5/17/2024,15.96
5/16/2024,15.83
5/15/2024,15.89
5/14/2024,15.87
5/13/2024,15.82
5/10/2024,15.94
5/9/2024,16.23
5/8/2024,16.25
5/7/2024,16.13
5/6/2024,16.06
5/3/2024,15.89
5/2/2024,15.78
5/1/2024,15.48
4/30/2024,15.73
4/29/2024,15.98
4/26/2024,15.96
4/25/2024,15.94
4/24/2024,15.87
4/23/2024,15.9
4/22/2024,15.83
4/19/2024,15.77
4/18/2024,15.53
4/17/2024,15.23
4/16/2024,15.1
4/15/2024,15.23
4/12/2024,15.42
4/11/2024,15.68
4/10/2024,15.78
4/9/2024,15.72
4/8/2024,15.82
4/5/2024,15.84
4/4/2024,15.81
4/3/2024,16
4/2/2024,15.78
4/1/2024,15.69
3/28/2024,15.73
3/27/2024,15.54
3/26/2024,15.49
3/25/2024,15.56
3/22/2024,15.56
3/21/2024,15.59
3/20/2024,15.66
3/19/2024,15.68
3/18/2024,15.56
3/15/2024,15.34
3/14/2024,15.04
3/13/2024,15.1
3/12/2024,15.01
3/11/2024,15.01
3/8/2024,15.03
3/7/2024,15.19
3/6/2024,15.15
3/5/2024,15.02
3/4/2024,14.9
3/1/2024,14.98
2/29/2024,14.64
2/28/2024,14.53
2/27/2024,14.69
2/26/2024,14.69
2/23/2024,14.89
2/22/2024,14.79
2/21/2024,14.85
2/20/2024,14.64
2/16/2024,14.55
2/15/2024,14.42
2/14/2024,14.11
2/13/2024,13.96
2/12/2024,14.09
2/9/2024,13.94
2/8/2024,13.91
2/7/2024,13.9
2/6/2024,13.97
2/5/2024,14.31
2/2/2024,14.33
2/1/2024,14.37
1/31/2024,14.3
1/30/2024,14.56
1/29/2024,14.53
1/26/2024,14.46
1/25/2024,14.28
1/24/2024,14.07
1/23/2024,13.94
1/22/2024,13.88
1/19/2024,13.79
1/18/2024,13.72
1/17/2024,13.77
1/16/2024,13.9
1/12/2024,14.01
1/11/2024,13.92
1/10/2024,13.92
1/9/2024,14
1/8/2024,13.98
1/5/2024,13.95
1/4/2024,13.87
1/3/2024,14.02
1/2/2024,13.88
12/29/2023,13.8
12/28/2023,13.77
12/27/2023,13.79
12/26/2023,13.78
12/22/2023,13.76
12/21/2023,13.79
12/20/2023,13.72
12/19/2023,13.87
12/18/2023,13.85
12/15/2023,13.71
