Date,GE
5/20/2025,235.26
5/19/2025,235.29
5/16/2025,231.78
5/15/2025,229.38
5/14/2025,223.24
5/13/2025,221.58
5/12/2025,218.95
5/9/2025,214.96
5/8/2025,214.49
5/7/2025,209.92
5/6/2025,208.6
5/5/2025,208.94
5/2/2025,207.7
5/1/2025,203.61
4/30/2025,201.54
4/29/2025,200.5
4/28/2025,200.86
4/25/2025,198.43
4/24/2025,197.41
4/23/2025,193.68
4/22/2025,189.18
4/21/2025,178.35
4/17/2025,181.79
4/16/2025,182.45
4/15/2025,185.67
4/14/2025,186
4/11/2025,181.67
4/10/2025,181.51
4/9/2025,187.27
4/8/2025,169.37
4/7/2025,167.7
4/4/2025,166.81
4/3/2025,187.63
4/2/2025,199.77
4/1/2025,203.79
3/31/2025,200.15
3/28/2025,199.88
3/27/2025,205.88
3/26/2025,207.37
3/25/2025,212.13
3/24/2025,210.23
3/21/2025,204.13
3/20/2025,203.93
3/19/2025,205.57
3/18/2025,200.79
3/17/2025,202.03
3/14/2025,197.11
3/13/2025,192.42
3/12/2025,195
3/11/2025,191.72
3/10/2025,192.12
3/7/2025,193.85
3/6/2025,196.05
3/5/2025,202.5
3/4/2025,198.77
3/3/2025,201.96
2/28/2025,206.98
2/27/2025,201.43
2/26/2025,201.61
2/25/2025,199.27
2/24/2025,198.71
2/21/2025,199.83
2/20/2025,208.74
2/19/2025,210.5
2/18/2025,210.08
2/14/2025,208.27
2/13/2025,208.36
2/12/2025,209.64
2/11/2025,208.82
2/10/2025,205.22
2/7/2025,205.28
2/6/2025,206.06
2/5/2025,204.58
2/4/2025,202.18
2/3/2025,204.11
1/31/2025,203.57
1/30/2025,205.57
1/29/2025,199.1
1/28/2025,194.43
1/27/2025,194.46
1/24/2025,196.75
1/23/2025,200.8
1/22/2025,188.36
1/21/2025,187.5
1/17/2025,182.85
1/16/2025,179.74
1/15/2025,180.29
1/14/2025,176.86
1/13/2025,171.57
1/10/2025,171.69
1/8/2025,172.89
1/7/2025,172.31
1/6/2025,172.45
1/3/2025,171.96
1/2/2025,168.59
12/31/2024,166.79
12/30/2024,168.1
12/27/2024,170.08
12/26/2024,172.15
12/24/2024,171.49
12/23/2024,169.02
12/20/2024,168.37
12/19/2024,164.8
12/18/2024,159.95
12/17/2024,165.8
12/16/2024,165.79
12/13/2024,166.01
12/12/2024,164.83
12/11/2024,168.64
12/10/2024,171.27
12/9/2024,171.32
12/6/2024,175.58
12/5/2024,172.91
12/4/2024,182.65
12/3/2024,180.72
12/2/2024,180.44
11/29/2024,182.16
11/27/2024,180.6
11/26/2024,184.6
11/25/2024,180.21
11/22/2024,181.15
11/21/2024,178.7
11/20/2024,177.98
11/19/2024,177.56
11/18/2024,177.52
11/15/2024,176.93
11/14/2024,178.4
11/13/2024,183.56
11/12/2024,182.64
11/11/2024,184.56
11/8/2024,184.81
11/7/2024,178.85
11/6/2024,180.76
11/5/2024,175.26
11/4/2024,171.76
11/1/2024,171.7
10/31/2024,171.78
10/30/2024,174.64
10/29/2024,174.05
10/28/2024,175.36
10/25/2024,179.1
10/24/2024,179.74
10/23/2024,181.69
10/22/2024,176.66
10/21/2024,194.23
10/18/2024,192.61
10/17/2024,192.62
10/16/2024,192.18
10/15/2024,190.57
10/14/2024,192.63
10/11/2024,191.16
10/10/2024,188.12
10/9/2024,189.28
10/8/2024,187.47
10/7/2024,185.96
10/4/2024,187.08
10/3/2024,183.89
10/2/2024,186.44
10/1/2024,186.3
9/30/2024,188.58
9/27/2024,185.38
9/26/2024,184.59
9/25/2024,189.33
9/24/2024,189.66
9/23/2024,188.67
9/20/2024,187.43
9/19/2024,186.16
9/18/2024,183.55
9/17/2024,180.33
9/16/2024,181.44
9/13/2024,178.28
9/12/2024,169.7
9/11/2024,166.35
9/10/2024,166.98
9/9/2024,165.35
9/6/2024,161.23
9/5/2024,163.85
9/4/2024,166.36
9/3/2024,164.21
8/30/2024,174.62
8/29/2024,173.58
8/28/2024,171.87
8/27/2024,170.99
8/26/2024,171.22
8/23/2024,171.22
8/22/2024,169.68
8/21/2024,171.2
8/20/2024,169.99
8/19/2024,170.93
8/16/2024,169.42
8/15/2024,169.94
8/14/2024,167.95
8/13/2024,167.96
8/12/2024,166.87
8/9/2024,167.13
8/8/2024,165.61
8/7/2024,162.13
8/6/2024,162.27
8/5/2024,158.36
8/2/2024,160.28
8/1/2024,169.75
7/31/2024,170.2
7/30/2024,167.48
7/29/2024,169.87
7/26/2024,169.81
7/25/2024,164.67
7/24/2024,162.3
7/23/2024,172
7/22/2024,162.76
7/19/2024,159.13
7/18/2024,158.79
7/17/2024,156.66
7/16/2024,162.85
7/15/2024,159.56
7/12/2024,159.01
7/11/2024,161.92
7/10/2024,165.7
7/9/2024,163.13
7/8/2024,163.53
7/5/2024,160.5
7/3/2024,163
7/2/2024,161.45
7/1/2024,158.97
6/28/2024,158.97
6/27/2024,160.5
6/26/2024,160.64
6/25/2024,159.73
6/24/2024,160.54
6/21/2024,164.24
6/20/2024,165
6/18/2024,164.97
6/17/2024,163.23
6/14/2024,155.88
6/13/2024,155.69
6/12/2024,161.05
6/11/2024,160.36
6/10/2024,162.84
6/7/2024,161.92
6/6/2024,160.62
6/5/2024,162.55
6/4/2024,161.38
6/3/2024,161.46
5/31/2024,165.14
5/30/2024,164.2
5/29/2024,163.6
5/28/2024,168.56
5/24/2024,167.33
5/23/2024,165.26
5/22/2024,160.81
5/21/2024,161
5/20/2024,159.28
5/17/2024,159.89
5/16/2024,161.12
5/15/2024,163.47
5/14/2024,160
5/13/2024,159.5
5/10/2024,163.38
5/9/2024,167.5
5/8/2024,168.86
5/7/2024,168.78
5/6/2024,167.97
5/3/2024,164.11
5/2/2024,162.64
5/1/2024,159.7
4/30/2024,161.82
4/29/2024,164.49
4/26/2024,162.35
4/25/2024,161.26
4/24/2024,159.19
4/23/2024,162.62
4/22/2024,150.19
4/19/2024,148.06
4/18/2024,152.94
4/17/2024,155.67
4/16/2024,156.76
4/15/2024,153.7
4/12/2024,154.63
4/11/2024,157.68
4/10/2024,156.61
4/9/2024,154.49
4/8/2024,156.52
4/5/2024,156.3
4/4/2024,147.39
4/3/2024,145.62
4/2/2024,136.47
4/1/2024,139.86
3/28/2024,139.99
3/27/2024,143.65
3/26/2024,138.41
3/25/2024,138.36
3/22/2024,139.69
3/21/2024,140.88
3/20/2024,138.71
3/19/2024,138.34
3/18/2024,135.51
3/15/2024,134.7
3/14/2024,132.99
3/13/2024,135.71
3/12/2024,133.55
3/11/2024,132.84
3/8/2024,133.95
3/7/2024,132.79
3/6/2024,127.21
3/5/2024,125.9
3/4/2024,128.41
3/1/2024,126.53
2/29/2024,125.12
2/28/2024,124.1
2/27/2024,122.81
2/26/2024,123.43
2/23/2024,122.29
2/22/2024,120.96
2/21/2024,118.89
2/20/2024,118.53
2/16/2024,118.96
2/15/2024,118.33
2/14/2024,116.84
2/13/2024,113.07
2/12/2024,111.79
2/9/2024,111.08
2/8/2024,110.9
2/7/2024,110.46
2/6/2024,109.72
2/5/2024,109.83
2/2/2024,108.89
2/1/2024,107.99
1/31/2024,105.61
1/30/2024,106.81
1/29/2024,104.56
1/26/2024,104.63
1/25/2024,103.62
1/24/2024,103.62
1/23/2024,103.64
1/22/2024,104.66
1/19/2024,103.53
1/18/2024,102.52
1/17/2024,101.19
1/16/2024,102.06
1/12/2024,103.51
1/11/2024,103.54
1/10/2024,103.44
1/9/2024,102.71
1/8/2024,102.31
1/5/2024,100.72
1/4/2024,99.42
1/3/2024,98.94
1/2/2024,100.45
12/29/2023,101.79
12/28/2023,102.34
12/27/2023,102.24
12/26/2023,101.66
12/22/2023,101.04
12/21/2023,101.26
12/20/2023,98.39
12/19/2023,100.44
12/18/2023,98.61
12/15/2023,98.28
12/14/2023,96.78
12/13/2023,96.64
12/12/2023,97.55
12/11/2023,95.93
12/8/2023,96.17
12/7/2023,95.29
12/6/2023,95.55
12/5/2023,95.89
12/4/2023,96.92
12/1/2023,97.7
11/30/2023,97.14
11/29/2023,94.79
11/28/2023,94.79
11/27/2023,95.68
11/24/2023,95.68
11/22/2023,95.38
11/21/2023,95.62
11/20/2023,95.76
11/17/2023,95.65
11/16/2023,94.86
11/15/2023,92.75
11/14/2023,93.51
11/13/2023,92.13
11/10/2023,91.93
11/9/2023,90.19
11/8/2023,90.8
11/7/2023,89.16
11/6/2023,89.15
11/3/2023,86.87
11/2/2023,85.96
11/1/2023,85.54
10/31/2023,86.64
10/30/2023,87.58
10/27/2023,84.82
10/26/2023,86.77
10/25/2023,88.69
10/24/2023,90.62
10/23/2023,85.09
10/20/2023,84.6
10/19/2023,85.3
10/18/2023,85.79
10/17/2023,87.74
10/16/2023,87.04
10/13/2023,87.23
10/12/2023,88.79
10/11/2023,90.33
10/10/2023,88.91
10/9/2023,87.94
10/6/2023,88.9
10/5/2023,86.71
10/4/2023,86.81
10/3/2023,85.94
10/2/2023,86.76
9/29/2023,88.17
9/28/2023,89.59
9/27/2023,88.44
9/26/2023,87.67
9/25/2023,89.1
9/22/2023,88.73
9/21/2023,90.11
9/20/2023,91.6
9/19/2023,92.68
9/18/2023,92.97
9/15/2023,92.11
9/14/2023,92.23
9/13/2023,90.6
9/12/2023,91.72
9/11/2023,91.13
9/8/2023,89.1
9/7/2023,89.16
9/6/2023,89.87
9/5/2023,90.03
9/1/2023,91.11
8/31/2023,91.29
8/30/2023,91.17
8/29/2023,91.98
8/28/2023,90.89
8/25/2023,89.3
8/24/2023,88.56
8/23/2023,90.5
8/22/2023,89.05
8/21/2023,89.34
8/18/2023,89.16
8/17/2023,88.49
8/16/2023,90.58
8/15/2023,90.8
8/14/2023,92.15
8/11/2023,91.4
8/10/2023,90.58
8/9/2023,89.46
8/8/2023,90.56
8/7/2023,91.5
8/4/2023,90.17
8/3/2023,89.61
8/2/2023,89.3
8/1/2023,90.3
7/31/2023,91.11
7/28/2023,91.23
7/27/2023,92.05
7/26/2023,91.49
7/25/2023,93.44
7/24/2023,87.93
7/21/2023,87.99
7/20/2023,88.72
7/19/2023,87.64
7/18/2023,88.57
7/17/2023,88.64
7/14/2023,87.95
7/13/2023,88.75
7/12/2023,88.69
7/11/2023,88.7
7/10/2023,88.15
7/7/2023,86.35
7/6/2023,85.63
7/5/2023,86.65
7/3/2023,86.36
6/30/2023,87.61
6/29/2023,85.93
6/28/2023,85.38
6/27/2023,83.68
6/26/2023,83.3
6/23/2023,82.77
6/22/2023,83.6
6/21/2023,83.78
6/20/2023,82.96
6/16/2023,84.77
6/15/2023,84.07
6/14/2023,83.5
6/13/2023,85.13
6/12/2023,84.72
6/9/2023,84.78
6/8/2023,84.59
6/7/2023,84.6
6/6/2023,84.11
6/5/2023,83.02
6/2/2023,84.38
6/1/2023,83.48
5/31/2023,80.97
5/30/2023,81.67
5/26/2023,81.94
5/25/2023,80.97
5/24/2023,80.53
5/23/2023,81.11
5/22/2023,83.38
5/19/2023,83.15
5/18/2023,82.95
5/17/2023,82.52
5/16/2023,80.65
5/15/2023,81.35
5/12/2023,78.8
5/11/2023,79.36
5/10/2023,79.39
5/9/2023,80.55
5/8/2023,80.49
5/5/2023,79.94
5/4/2023,79.21
5/3/2023,81.16
5/2/2023,80.96
5/1/2023,80.69
4/28/2023,78.93
4/27/2023,78.21
4/26/2023,76.73
4/25/2023,78.51
4/24/2023,79.87
4/21/2023,79.36
4/20/2023,79.56
4/19/2023,78.98
4/18/2023,78.53
4/17/2023,77.18
4/14/2023,76.12
4/13/2023,75.21
4/12/2023,75.05
4/11/2023,74.9
4/10/2023,75.26
4/6/2023,74.65
4/5/2023,75.17
4/4/2023,75.81
4/3/2023,77.3
3/31/2023,76.24
3/30/2023,75.01
3/29/2023,75.02
3/28/2023,74.28
3/27/2023,74.42
3/24/2023,72.87
3/23/2023,73.05
3/22/2023,71.45
3/21/2023,73.52
3/20/2023,71.71
3/17/2023,72.01
3/16/2023,73.35
3/15/2023,71.59
3/14/2023,72.71
3/13/2023,70.96
3/10/2023,72.58
3/9/2023,73.02
3/8/2023,69.37
3/7/2023,68.9
3/6/2023,69.43
3/3/2023,68.89
3/2/2023,68.36
3/1/2023,67.1
2/28/2023,67.56
2/27/2023,66.86
2/24/2023,66.63
2/23/2023,66.15
2/22/2023,66.35
2/21/2023,65.6
2/17/2023,66.23
2/16/2023,67.03
2/15/2023,67.61
2/14/2023,66.63
2/13/2023,65.94
2/10/2023,64.83
2/9/2023,64.43
2/8/2023,65.37
2/7/2023,65.49
2/6/2023,65.68
2/3/2023,65.37
2/2/2023,66.94
2/1/2023,65.65
1/31/2023,64.19
1/30/2023,64.46
1/27/2023,66.38
1/26/2023,64.71
1/25/2023,64.43
1/24/2023,64.36
1/23/2023,63.62
1/20/2023,61.95
1/19/2023,61.3
1/18/2023,63.22
1/17/2023,64.19
1/13/2023,63.96
1/12/2023,62.89
1/11/2023,61.96
1/10/2023,60.03
1/9/2023,57.96
1/6/2023,57.37
1/5/2023,56.86
1/4/2023,55.99
1/3/2023,52.89
12/30/2022,52.15
12/29/2022,52.12
12/28/2022,51.01
12/27/2022,51.56
12/23/2022,50.9
12/22/2022,50.89
12/21/2022,51.64
12/20/2022,49.99
12/19/2022,48.58
12/16/2022,48.33
12/15/2022,49.05
12/14/2022,50.7
12/13/2022,51.58
12/12/2022,51.79
12/9/2022,50.69
12/8/2022,52.05
12/7/2022,52.9
12/6/2022,53.07
12/5/2022,52.69
12/2/2022,54.07
12/1/2022,53.06
11/30/2022,53.5
11/29/2022,53.31
11/28/2022,53.19
11/25/2022,54.85
11/23/2022,54.69
11/22/2022,54.33
11/21/2022,53.45
11/18/2022,53.2
11/17/2022,53.14
11/16/2022,52.84
11/15/2022,54.23
11/14/2022,53.42
11/11/2022,53.71
11/10/2022,53.14
11/9/2022,51.75
11/8/2022,52.28
11/7/2022,51.94
11/4/2022,50.45
11/3/2022,48.78
11/2/2022,48.17
11/1/2022,48.67
10/31/2022,48.42
10/28/2022,48.75
10/27/2022,47.3
10/26/2022,46.96
10/25/2022,45.43
10/24/2022,45.66
10/21/2022,45.32
10/20/2022,43.55
10/19/2022,43.89
10/18/2022,44
