Date,GS
5/20/2025,606.52
5/19/2025,612.3
5/16/2025,619.03
5/15/2025,615.9
5/14/2025,611.6
5/13/2025,603.81
5/12/2025,591.34
5/9/2025,567.1
5/8/2025,565.7
5/7/2025,551.92
5/6/2025,549.36
5/5/2025,559.56
5/2/2025,566.1
5/1/2025,553.83
4/30/2025,547.55
4/29/2025,548.92
4/28/2025,546.4
4/25/2025,544.86
4/24/2025,545.37
4/23/2025,529.31
4/22/2025,519.99
4/21/2025,501.36
4/17/2025,509.49
4/16/2025,499.05
4/15/2025,507.89
4/14/2025,503.98
4/11/2025,494.44
4/10/2025,489.8
4/9/2025,516.87
4/8/2025,462.22
4/7/2025,465.51
4/4/2025,470.81
4/3/2025,511.23
4/2/2025,563.1
4/1/2025,548.45
3/31/2025,546.29
3/28/2025,543.12
3/27/2025,558.92
3/26/2025,573.92
3/25/2025,585.94
3/24/2025,580.1
3/21/2025,565.14
3/20/2025,562.68
3/19/2025,557.34
3/18/2025,551.78
3/17/2025,551.34
3/14/2025,541.41
3/13/2025,524.81
3/12/2025,535.71
3/11/2025,531.43
3/10/2025,531.66
3/7/2025,559.67
3/6/2025,567.67
3/5/2025,593.07
3/4/2025,581.14
3/3/2025,605.26
2/28/2025,622.29
2/27/2025,608
2/26/2025,617.77
2/25/2025,614.91
2/24/2025,626.14
2/21/2025,625.6
2/20/2025,642.26
2/19/2025,668.15
2/18/2025,672.19
2/14/2025,660.55
2/13/2025,648.95
2/12/2025,649
2/11/2025,647.24
2/10/2025,650.53
2/7/2025,655.9
2/6/2025,658.22
2/5/2025,645.45
2/4/2025,634.18
2/3/2025,632.37
1/31/2025,640.4
1/30/2025,645.7
1/29/2025,637.38
1/28/2025,637.8
1/27/2025,633.28
1/24/2025,636.9
1/23/2025,639.5
1/22/2025,632.73
1/21/2025,634.74
1/17/2025,625.94
1/16/2025,612.99
1/15/2025,605.92
1/14/2025,571.53
1/13/2025,562.95
1/10/2025,560
1/8/2025,580.02
1/7/2025,580.12
1/6/2025,583.39
1/3/2025,580.13
1/2/2025,574.97
12/31/2024,572.62
12/30/2024,573.55
12/27/2024,576.18
12/26/2024,581.23
12/24/2024,582.79
12/23/2024,570.78
12/20/2024,566.1
12/19/2024,553.99
12/18/2024,550.25
12/17/2024,574.68
12/16/2024,586.33
12/13/2024,585.48
12/12/2024,591.61
12/11/2024,592.56
12/10/2024,585.03
12/9/2024,594.12
12/6/2024,599.68
12/5/2024,596.8
12/4/2024,598.71
12/3/2024,602.08
12/2/2024,601.71
11/29/2024,608.57
11/27/2024,605.43
11/26/2024,605.5
11/25/2024,603.03
11/22/2024,602.78
11/21/2024,596.11
11/20/2024,581.93
11/19/2024,581.38
11/18/2024,587.99
11/15/2024,593.54
11/14/2024,588.61
11/13/2024,594.22
11/12/2024,592.59
11/11/2024,602.34
11/8/2024,589.26
11/7/2024,582.17
11/6/2024,595.98
11/5/2024,526.96
11/4/2024,511.47
11/1/2024,519.35
10/31/2024,517.79
10/30/2024,524.4
10/29/2024,524.28
10/28/2024,523.58
10/25/2024,512.6
10/24/2024,524.5
10/23/2024,517.2
10/22/2024,518.3
10/21/2024,517.8
10/18/2024,528.5
10/17/2024,529
10/16/2024,529.86
10/15/2024,522.38
10/14/2024,522.75
10/11/2024,516.3
10/10/2024,503.72
10/9/2024,505.18
10/8/2024,496.57
10/7/2024,494.62
10/4/2024,495.16
10/3/2024,486.1
10/2/2024,491.99
10/1/2024,490.17
9/30/2024,495.11
9/27/2024,498.51
9/26/2024,496.92
9/25/2024,491.14
9/24/2024,498.02
9/23/2024,497.41
9/20/2024,498.43
9/19/2024,503.83
9/18/2024,484.58
9/17/2024,485.39
9/16/2024,485.16
9/13/2024,478.99
9/12/2024,474.06
9/11/2024,471.17
9/10/2024,467.13
9/9/2024,488.57
9/6/2024,479.61
9/5/2024,487.88
9/4/2024,490.64
9/3/2024,487.46
8/30/2024,510.25
8/29/2024,510.1
8/28/2024,503.33
8/27/2024,507.26
8/26/2024,507.87
8/23/2024,509.42
8/22/2024,497.75
8/21/2024,496.46
8/20/2024,497.34
8/19/2024,504.68
8/16/2024,504.26
8/15/2024,499.02
8/14/2024,498.7
8/13/2024,491.94
8/12/2024,485.5
8/9/2024,490.26
8/8/2024,485.77
8/7/2024,473.01
8/6/2024,470.22
8/5/2024,459.02
8/2/2024,470.64
8/1/2024,500.12
7/31/2024,509.03
7/30/2024,505.67
7/29/2024,492.72
7/26/2024,499.03
7/25/2024,491.71
7/24/2024,486.7
7/23/2024,492.15
7/22/2024,487.04
7/19/2024,484.93
7/18/2024,486.21
7/17/2024,502.18
7/16/2024,503.02
7/15/2024,492.23
7/12/2024,479.88
7/11/2024,479.23
7/10/2024,478.89
7/9/2024,472.83
7/8/2024,464.82
7/5/2024,464.75
7/3/2024,467.92
7/2/2024,465.61
7/1/2024,463.66
6/28/2024,452.32
6/27/2024,445.96
6/26/2024,455.86
6/25/2024,457.38
6/24/2024,462.09
6/21/2024,450.18
6/20/2024,458.05
6/18/2024,457.43
6/17/2024,450.18
6/14/2024,446.46
6/13/2024,446.35
6/12/2024,448.7
6/11/2024,444.27
6/10/2024,453.55
6/7/2024,454.91
6/6/2024,458.1
6/5/2024,461.68
6/4/2024,455.3
6/3/2024,454.98
5/31/2024,456.52
5/30/2024,450.23
5/29/2024,457.17
5/28/2024,459.81
5/24/2024,461.18
5/23/2024,458.15
5/22/2024,462.38
5/21/2024,470.41
5/20/2024,462.94
5/17/2024,467.72
5/16/2024,464.52
5/15/2024,466.09
5/14/2024,458.47
5/13/2024,453.56
5/10/2024,454.73
5/9/2024,455.56
5/8/2024,446.95
5/7/2024,443.8
5/6/2024,443.67
5/3/2024,438.18
5/2/2024,432.57
5/1/2024,426.95
4/30/2024,426.71
4/29/2024,430.81
4/26/2024,427.57
4/25/2024,420.05
4/24/2024,423.04
4/23/2024,424
4/22/2024,417.35
4/19/2024,404
4/18/2024,403.11
4/17/2024,403.91
4/16/2024,396.86
4/15/2024,400.88
4/12/2024,389.49
4/11/2024,397.48
4/10/2024,400.76
4/9/2024,410.71
4/8/2024,410.54
4/5/2024,408.07
4/4/2024,406.25
4/3/2024,414
4/2/2024,410.15
4/1/2024,413.51
3/28/2024,417.69
3/27/2024,415.25
3/26/2024,406.18
3/25/2024,404.94
3/22/2024,406.82
3/21/2024,413.71
3/20/2024,396.47
3/19/2024,388.66
3/18/2024,384.37
3/15/2024,387.21
3/14/2024,388.61
3/13/2024,392.31
3/12/2024,388.18
3/11/2024,386.16
3/8/2024,386.99
3/7/2024,388.43
3/6/2024,389.57
3/5/2024,390.91
3/4/2024,392.25
3/1/2024,388.1
2/29/2024,389.05
2/28/2024,393.18
2/27/2024,390.81
2/26/2024,390.22
2/23/2024,391.05
2/22/2024,390.47
2/21/2024,388.27
2/20/2024,384.52
2/16/2024,384.44
2/15/2024,385.42
2/14/2024,378.04
2/13/2024,378.75
2/12/2024,392.64
2/9/2024,384.26
2/8/2024,385.04
2/7/2024,386.66
2/6/2024,384.99
2/5/2024,383.02
2/2/2024,387.86
2/1/2024,383.85
1/31/2024,384.01
1/30/2024,386.87
1/29/2024,380.56
1/26/2024,377.79
1/25/2024,382.7
1/24/2024,379.4
1/23/2024,380.77
1/22/2024,385.96
1/19/2024,382.2
1/18/2024,376.91
1/17/2024,377.18
1/16/2024,380.45
1/12/2024,377.75
1/11/2024,379.75
1/10/2024,381.96
1/9/2024,383.74
1/8/2024,388.86
1/5/2024,386.44
1/4/2024,382.95
1/3/2024,381.79
1/2/2024,388.3
12/29/2023,385.77
12/28/2023,386.41
12/27/2023,384.48
12/26/2023,381.61
12/22/2023,380.65
12/21/2023,380.57
12/20/2023,377.52
12/19/2023,382.45
12/18/2023,376.4
12/15/2023,380.51
12/14/2023,383.47
12/13/2023,362.73
12/12/2023,352.61
12/11/2023,351.76
12/8/2023,350.83
12/7/2023,344.62
12/6/2023,341.97
12/5/2023,341.75
12/4/2023,349.39
12/1/2023,348.43
11/30/2023,341.54
11/29/2023,340.26
11/28/2023,337.65
11/27/2023,337.71
11/24/2023,339.15
11/22/2023,338.64
11/21/2023,334.97
11/20/2023,339.45
11/17/2023,339.19
11/16/2023,336.67
11/15/2023,337.6
11/14/2023,338.72
11/13/2023,326.91
11/10/2023,325.51
11/9/2023,320.78
11/8/2023,324.56
11/7/2023,323.95
11/6/2023,323.91
11/3/2023,327.62
11/2/2023,313.76
11/1/2023,307.16
10/31/2023,303.61
10/30/2023,300.83
10/27/2023,289.91
10/26/2023,296.99
10/25/2023,296.76
10/24/2023,299.18
10/23/2023,299.22
10/20/2023,300.05
10/19/2023,299.19
10/18/2023,301.96
10/17/2023,309.36
10/16/2023,314.39
10/13/2023,309.3
10/12/2023,309.85
10/11/2023,313.02
10/10/2023,314.77
10/9/2023,312.61
10/6/2023,312.48
10/5/2023,310.5
10/4/2023,308.6
10/3/2023,306.12
10/2/2023,318.5
9/29/2023,323.57
9/28/2023,325.2
9/27/2023,321.95
9/26/2023,323.82
9/25/2023,328.84
9/22/2023,327.89
9/21/2023,330.24
9/20/2023,336.7
9/19/2023,341.89
9/18/2023,343.32
9/15/2023,342.54
9/14/2023,344.57
9/13/2023,334.98
9/12/2023,330.9
9/11/2023,324.65
9/8/2023,325.52
9/7/2023,321.96
9/6/2023,321.13
9/5/2023,323.75
9/1/2023,327.4
8/31/2023,327.71
8/30/2023,328.58
