Date,jpm
5/20/2025,265.68
5/19/2025,264.88
5/16/2025,267.56
5/15/2025,267.49
5/14/2025,265.64
5/13/2025,263.01
5/12/2025,260.05
5/9/2025,253.08
5/8/2025,253.47
5/7/2025,249.39
5/6/2025,249.25
5/5/2025,252.56
5/2/2025,252.51
5/1/2025,246.89
4/30/2025,244.62
4/29/2025,244.62
4/28/2025,243.22
4/25/2025,243.55
4/24/2025,244.64
4/23/2025,240.88
4/22/2025,235.59
4/21/2025,228.99
4/17/2025,231.96
4/16/2025,229.61
4/15/2025,233.13
4/14/2025,234.72
4/11/2025,236.2
4/10/2025,227.11
4/9/2025,234.34
4/8/2025,216.87
4/7/2025,214.44
4/4/2025,210.28
4/3/2025,228.69
4/2/2025,245.82
4/1/2025,243.66
3/31/2025,245.3
3/28/2025,242.85
3/27/2025,248.12
3/26/2025,251.03
3/25/2025,251.13
3/24/2025,248.06
3/21/2025,241.63
3/20/2025,239.01
3/19/2025,239.11
3/18/2025,234.97
3/17/2025,233.93
3/14/2025,232.44
3/13/2025,225.19
3/12/2025,227.9
3/11/2025,229.14
3/10/2025,232.22
3/7/2025,242.28
3/6/2025,246.54
3/5/2025,251.53
3/4/2025,250.25
3/3/2025,260.62
2/28/2025,264.65
2/27/2025,259.05
2/26/2025,258.79
2/25/2025,257.4
2/24/2025,261.34
2/21/2025,264.24
2/20/2025,266.8
2/19/2025,279.25
2/18/2025,279.95
2/14/2025,276.59
2/13/2025,276.32
2/12/2025,275.45
2/11/2025,274.99
2/10/2025,271.04
2/7/2025,275.8
2/6/2025,276.9
2/5/2025,270.43
2/4/2025,267.94
2/3/2025,266.81
1/31/2025,267.3
1/30/2025,268.23
1/29/2025,266.58
1/28/2025,267.14
1/27/2025,265.85
1/24/2025,264.84
1/23/2025,265.95
1/22/2025,262.84
1/21/2025,263.03
1/17/2025,259.16
1/16/2025,254.27
1/15/2025,252.35
1/14/2025,247.47
1/13/2025,244.21
1/10/2025,239.87
1/8/2025,243.13
1/7/2025,243.17
1/6/2025,240.85
1/3/2025,243.28
1/2/2025,240
12/31/2024,239.71
12/30/2024,239.32
12/27/2024,241.17
