Date,MS
5/20/2025,129.13
5/19/2025,130.84
5/16/2025,132.18
5/15/2025,132.51
5/14/2025,131.04
5/13/2025,129.35
5/12/2025,127.06
5/9/2025,121.7
5/8/2025,121.88
5/7/2025,119.1
5/6/2025,118.33
5/5/2025,119.6
5/2/2025,120.22
5/1/2025,116.76
4/30/2025,115.42
4/29/2025,116.21
4/28/2025,115.83
4/25/2025,116.01
4/24/2025,115.6
4/23/2025,112.31
4/22/2025,110.38
4/21/2025,106.3
4/17/2025,109.18
4/16/2025,107.86
4/15/2025,110.44
4/14/2025,109.11
4/11/2025,108.12
4/10/2025,106.58
4/9/2025,111.7
4/8/2025,100.31
4/7/2025,100.92
4/4/2025,99.83
4/3/2025,107.93
4/2/2025,119.27
4/1/2025,115.74
3/31/2025,116.67
3/28/2025,115.33
3/27/2025,119
3/26/2025,122.2
3/25/2025,125.2
3/24/2025,124.27
3/21/2025,120.14
3/20/2025,120.47
3/19/2025,119.85
3/18/2025,118.11
3/17/2025,117.96
3/14/2025,115.34
3/13/2025,111.68
3/12/2025,114
3/11/2025,112.04
3/10/2025,111.69
3/7/2025,119.29
3/6/2025,119.37
3/5/2025,123.75
3/4/2025,121.72
3/3/2025,129.13
2/28/2025,133.11
2/27/2025,129.24
2/26/2025,131.05
2/25/2025,129.6
2/24/2025,129.97
2/21/2025,131.69
2/20/2025,134.34
2/19/2025,140.69
2/18/2025,140.71
2/14/2025,138.95
2/13/2025,136.84
2/12/2025,137.11
2/11/2025,137.79
2/10/2025,137.31
2/7/2025,139.98
2/6/2025,141.08
2/5/2025,138.93
2/4/2025,136.77
2/3/2025,137.16
1/31/2025,138.43
1/30/2025,139.94
1/29/2025,138.71
1/28/2025,138.54
1/27/2025,136.65
1/24/2025,137.82
1/23/2025,137.8
1/22/2025,136
1/21/2025,137.3
1/17/2025,137.87
1/16/2025,135.81
1/15/2025,130.55
1/14/2025,124.62
1/13/2025,123.99
1/10/2025,123.45
1/8/2025,127.86
1/7/2025,126.88
1/6/2025,128.64
1/3/2025,125.94
1/2/2025,124.78
12/31/2024,125.72
12/30/2024,125.75
12/27/2024,126.76
12/26/2024,128.03
12/24/2024,127.06
12/23/2024,124.45
12/20/2024,123.44
12/19/2024,120.5
12/18/2024,121.04
12/17/2024,127.74
12/16/2024,129.03
12/13/2024,127.4
12/12/2024,127.91
12/11/2024,127.59
12/10/2024,126.79
12/9/2024,128.58
12/6/2024,129.96
12/5/2024,130.32
12/4/2024,129.99
12/3/2024,130.44
12/2/2024,131.03
11/29/2024,131.61
11/27/2024,131.21
11/26/2024,131.28
11/25/2024,133.66
11/22/2024,134.69
11/21/2024,134.99
11/20/2024,131.69
11/19/2024,132.24
11/18/2024,133.78
11/15/2024,134.06
11/14/2024,132.43
11/13/2024,132.76
11/12/2024,132.31
11/11/2024,133.52
11/8/2024,129.53
11/7/2024,128.44
11/6/2024,131.49
11/5/2024,117.81
11/4/2024,116.14
11/1/2024,116.85
10/31/2024,116.25
10/30/2024,117.92
10/29/2024,119.3
10/28/2024,119.13
10/25/2024,116.88
10/24/2024,119.17
10/23/2024,118.28
10/22/2024,118.32
10/21/2024,118.28
10/18/2024,121.06
10/17/2024,119.44
10/16/2024,119.51
10/15/2024,112.22
10/14/2024,112.28
10/11/2024,110.46
10/10/2024,108.08
10/9/2024,109.04
10/8/2024,107.49
10/7/2024,107.64
10/4/2024,107.88
10/3/2024,104.57
10/2/2024,104.52
10/1/2024,104.42
9/30/2024,104.24
9/27/2024,104.11
9/26/2024,104.6
9/25/2024,102.34
9/24/2024,102.58
9/23/2024,102.47
9/20/2024,102.47
9/19/2024,100.73
9/18/2024,99.3
9/17/2024,99.84
9/16/2024,100.09
9/13/2024,98.25
9/12/2024,96.64
9/11/2024,97.03
9/10/2024,96.62
9/9/2024,98.18
9/6/2024,96.59
9/5/2024,99.56
9/4/2024,100.15
9/3/2024,99.27
8/30/2024,103.61
8/29/2024,102.6
8/28/2024,102.2
8/27/2024,102.08
8/26/2024,102.33
8/23/2024,101.89
8/22/2024,100.56
8/21/2024,100.69
8/20/2024,100.78
8/19/2024,101.75
8/16/2024,101.44
8/15/2024,100.64
8/14/2024,99.44
8/13/2024,96.71
8/12/2024,94.84
8/9/2024,94.72
8/8/2024,94.63
8/7/2024,92.11
8/6/2024,92.97
8/5/2024,92.07
8/2/2024,95.85
8/1/2024,101.76
7/31/2024,103.21
7/30/2024,103.76
7/29/2024,102.48
7/26/2024,104.19
7/25/2024,103.56
7/24/2024,101.97
7/23/2024,103.5
7/22/2024,102.44
7/19/2024,102.09
7/18/2024,104.81
7/17/2024,106.96
7/16/2024,106.22
7/15/2024,105.26
7/12/2024,104.09
7/11/2024,104.64
7/10/2024,103.46
7/9/2024,102.61
7/8/2024,100.59
7/5/2024,99.59
7/3/2024,100.2
7/2/2024,99.65
7/1/2024,99.16
6/28/2024,97.19
6/27/2024,95.77
6/26/2024,96.89
6/25/2024,97.8
6/24/2024,97.1
6/21/2024,96.16
6/20/2024,97.44
6/18/2024,97.57
6/17/2024,97.04
6/14/2024,95.5
6/13/2024,95.21
6/12/2024,95.65
6/11/2024,95.43
6/10/2024,96.39
6/7/2024,97.14
6/6/2024,96.85
6/5/2024,96.66
6/4/2024,96.58
6/3/2024,97.41
5/31/2024,97.84
5/30/2024,97.23
5/29/2024,97.27
5/28/2024,98.67
5/24/2024,98.97
5/23/2024,98.92
5/22/2024,100.74
5/21/2024,101.53
5/20/2024,100.33
5/17/2024,100.22
5/16/2024,99.58
5/15/2024,100.52
5/14/2024,99.38
5/13/2024,98.56
5/10/2024,98.28
5/9/2024,98.11
5/8/2024,95.64
5/7/2024,95.79
5/6/2024,94.79
5/3/2024,93.64
5/2/2024,92.65
5/1/2024,91.54
4/30/2024,90.84
4/29/2024,92.11
4/26/2024,92.83
4/25/2024,92.56
4/24/2024,93.85
4/23/2024,93.76
4/22/2024,92.09
4/19/2024,90.66
4/18/2024,90.26
4/17/2024,90.08
4/16/2024,89.14
4/15/2024,86.99
4/12/2024,86.19
4/11/2024,86.84
4/10/2024,91.65
4/9/2024,94.08
4/8/2024,93.21
4/5/2024,92.47
4/4/2024,92.28
4/3/2024,93
4/2/2024,92.71
4/1/2024,93.53
3/28/2024,94.16
3/27/2024,93.5
3/26/2024,91.28
3/25/2024,91.14
3/22/2024,91.95
3/21/2024,93.4
3/20/2024,91.35
3/19/2024,88.42
3/18/2024,87.96
3/15/2024,88.38
3/14/2024,89.1
3/13/2024,89.35
3/12/2024,87.05
3/11/2024,86.94
3/8/2024,87.04
3/7/2024,86.14
3/6/2024,85.66
3/5/2024,89.13
3/4/2024,90.04
3/1/2024,86.48
2/29/2024,86.04
2/28/2024,86.05
2/27/2024,85.49
2/26/2024,85.67
2/23/2024,86.55
2/22/2024,85.85
2/21/2024,85.46
2/20/2024,85.35
2/16/2024,86.5
2/15/2024,85.67
2/14/2024,84
2/13/2024,83.97
2/12/2024,86.87
2/9/2024,85.89
2/8/2024,85.65
2/7/2024,86
2/6/2024,86.1
2/5/2024,85.89
2/2/2024,87.27
2/1/2024,86.82
1/31/2024,87.24
1/30/2024,87.62
1/29/2024,87.62
1/26/2024,87.73
1/25/2024,88.02
1/24/2024,87.57
1/23/2024,86.74
1/22/2024,85.73
1/19/2024,85.34
1/18/2024,83.9
1/17/2024,84.41
1/16/2024,85.97
1/12/2024,89.7
1/11/2024,90.51
1/10/2024,91.48
1/9/2024,92.06
1/8/2024,93.51
1/5/2024,93.24
1/4/2024,92.15
1/3/2024,91.91
1/2/2024,93.9
12/29/2023,93.25
12/28/2023,93.64
12/27/2023,93.66
12/26/2023,92.84
12/22/2023,92.41
12/21/2023,92.63
12/20/2023,91.14
12/19/2023,91.92
12/18/2023,90.76
12/15/2023,91.58
12/14/2023,91.04
12/13/2023,85.63
12/12/2023,83.6
12/11/2023,82.82
12/8/2023,82.28
12/7/2023,80.35
12/6/2023,79.41
12/5/2023,80.17
12/4/2023,81.21
12/1/2023,80.89
11/30/2023,79.34
11/29/2023,78.55
11/28/2023,76.88
11/27/2023,77.95
11/24/2023,78.65
11/22/2023,78.49
11/21/2023,78.47
11/20/2023,79.7
11/17/2023,80.28
11/16/2023,79.66
11/15/2023,79.68
11/14/2023,78.31
11/13/2023,75.04
11/10/2023,75.33
11/9/2023,74.19
11/8/2023,75.97
11/7/2023,75.51
11/6/2023,75.92
11/3/2023,76.26
11/2/2023,73.46
11/1/2023,70.95
10/31/2023,70.82
10/30/2023,70.59
10/27/2023,70.4
10/26/2023,72.07
10/25/2023,71.4
10/24/2023,71.56
10/23/2023,71.7
10/20/2023,73.13
10/19/2023,72.92
10/18/2023,74.88
10/17/2023,80.33
10/16/2023,78.73
10/13/2023,77.79
10/12/2023,77.81
10/11/2023,78.9
10/10/2023,80.13
10/9/2023,79.91
10/6/2023,80.33
10/5/2023,79.15
10/4/2023,79.09
10/3/2023,78.02
10/2/2023,80.41
9/29/2023,81.67
9/28/2023,82.19
9/27/2023,81.65
9/26/2023,82.17
9/25/2023,83.03
9/22/2023,83.29
