Date,PH
5/20/2025,680.05
5/19/2025,679.28
5/16/2025,680.4
5/15/2025,672.64
5/14/2025,674.81
5/13/2025,678.42
5/12/2025,668.76
5/9/2025,647.59
5/8/2025,641.5
5/7/2025,623.02
5/6/2025,613.92
5/5/2025,616.57
5/2/2025,619.02
5/1/2025,610.12
4/30/2025,605.06
4/29/2025,602.74
4/28/2025,597.09
4/25/2025,598.02
4/24/2025,596.81
4/23/2025,580.81
4/22/2025,566.65
4/21/2025,547.29
4/17/2025,561
4/16/2025,559.45
4/15/2025,568.25
4/14/2025,569.61
4/11/2025,565.37
4/10/2025,560.18
4/9/2025,596.1
4/8/2025,525.48
4/7/2025,531.65
4/4/2025,517.23
4/3/2025,556.7
4/2/2025,628.98
4/1/2025,609.86
3/31/2025,607.85
3/28/2025,601.43
3/27/2025,626.26
3/26/2025,637.51
3/25/2025,651.36
3/24/2025,642.58
3/21/2025,622.1
3/20/2025,624.72
3/19/2025,630.01
3/18/2025,616.4
3/17/2025,621.58
3/14/2025,607.88
3/13/2025,591.65
3/12/2025,613.14
3/11/2025,611.19
3/10/2025,606.6
3/7/2025,634.75
3/6/2025,630.93
3/5/2025,640.05
3/4/2025,624.9
3/3/2025,650.56
2/28/2025,668.51
2/27/2025,655
2/26/2025,660.59
2/25/2025,657.17
2/24/2025,659.08
2/21/2025,666.97
2/20/2025,695.46
2/19/2025,701.55
2/18/2025,695.46
2/14/2025,700.25
2/13/2025,693.82
2/12/2025,678.42
2/11/2025,681.01
2/10/2025,680.66
2/7/2025,683.94
2/6/2025,691.6
2/5/2025,688.87
2/4/2025,689.7
2/3/2025,695.77
1/31/2025,707.05
1/30/2025,703.89
1/29/2025,665.81
1/28/2025,666.23
1/27/2025,662.77
1/24/2025,679.34
1/23/2025,680.09
1/22/2025,674.49
1/21/2025,678.42
1/17/2025,669.46
1/16/2025,658.66
1/15/2025,656.32
1/14/2025,647.01
1/13/2025,637.99
1/10/2025,630.04
1/8/2025,641.5
1/7/2025,635.23
1/6/2025,641
1/3/2025,637.68
1/2/2025,629.52
12/31/2024,636.03
12/30/2024,636.82
12/27/2024,643.81
12/26/2024,651.42
12/24/2024,652.57
12/23/2024,645.65
12/20/2024,647.2
