Date,ROK
5/20/2025,308.09
5/19/2025,308.2
5/16/2025,309.05
5/15/2025,307.86
5/14/2025,307.54
5/13/2025,308.51
5/12/2025,299.78
5/9/2025,294.8
5/8/2025,291.24
5/7/2025,283.17
5/6/2025,253.05
5/5/2025,253.84
5/2/2025,253.65
5/1/2025,249.18
4/30/2025,247.68
4/29/2025,247.65
4/28/2025,246.54
4/25/2025,248.38
4/24/2025,248.54
4/23/2025,239.83
4/22/2025,234.42
4/21/2025,226.93
4/17/2025,232.29
4/16/2025,228.11
4/15/2025,233.05
4/14/2025,233.42
4/11/2025,229.38
4/10/2025,230.16
4/9/2025,242.43
4/8/2025,218.97
4/7/2025,227.62
4/4/2025,227.11
4/3/2025,239.16
4/2/2025,260.86
4/1/2025,258.74
3/31/2025,258.38
3/28/2025,258.63
3/27/2025,268.08
3/26/2025,269.28
3/25/2025,272.85
3/24/2025,267.96
3/21/2025,258.79
3/20/2025,258.09
3/19/2025,260.03
3/18/2025,258.13
3/17/2025,261.99
3/14/2025,260.19
3/13/2025,255.29
3/12/2025,261.98
3/11/2025,265.15
3/10/2025,270.37
3/7/2025,276.54
3/6/2025,271.82
3/5/2025,273.66
3/4/2025,267.87
3/3/2025,278.63
2/28/2025,287.15
2/27/2025,284.33
2/26/2025,287.09
2/25/2025,288.75
2/24/2025,292.63
2/21/2025,295.22
2/20/2025,303.18
2/19/2025,299.34
2/18/2025,301.15
2/14/2025,294.4
2/13/2025,298.66
2/12/2025,301.95
2/11/2025,303.75
2/10/2025,302.34
2/7/2025,268.4
2/6/2025,268.72
2/5/2025,270.56
2/4/2025,270.34
2/3/2025,271.05
1/31/2025,278.43
1/30/2025,279
1/29/2025,278.9
1/28/2025,282.24
1/27/2025,284.22
1/24/2025,288.43
1/23/2025,290.7
1/22/2025,288.95
1/21/2025,290.77
1/17/2025,286.6
1/16/2025,280.96
1/15/2025,276.11
1/14/2025,276.98
1/13/2025,275.53
1/10/2025,273.4
1/8/2025,279.56
1/7/2025,281.31
1/6/2025,281.46
1/3/2025,282.79
1/2/2025,280.89
12/31/2024,285.79
12/30/2024,285.64
12/27/2024,290.5
12/26/2024,293.88
12/24/2024,292.2
12/23/2024,289.21
12/20/2024,289.79
12/19/2024,286
12/18/2024,287.69
12/17/2024,293.49
12/16/2024,296.09
12/13/2024,297.2
12/12/2024,302.92
12/11/2024,297.38
12/10/2024,293.7
12/9/2024,298.72
12/6/2024,295.42
12/5/2024,297.1
12/4/2024,293.83
12/3/2024,291.56
12/2/2024,297.12
11/29/2024,295.14
11/27/2024,294.95
11/26/2024,296
11/25/2024,298.7
11/22/2024,290.86
11/21/2024,278.3
11/20/2024,280.08
11/19/2024,278.14
11/18/2024,283.13
11/15/2024,286.15
11/14/2024,286.43
11/13/2024,286.57
11/12/2024,277.88
11/11/2024,277.82
11/8/2024,272.14
11/7/2024,277.09
11/6/2024,294
11/5/2024,269.2
11/4/2024,264.65
11/1/2024,268.72
10/31/2024,266.71
10/30/2024,266.63
10/29/2024,268.43
10/28/2024,271.33
10/25/2024,269.86
10/24/2024,267.68
10/23/2024,266.44
10/22/2024,268.79
10/21/2024,269.94
10/18/2024,272.82
10/17/2024,272.63
10/16/2024,274.24
10/15/2024,272.22
10/14/2024,275.27
10/11/2024,271.16
10/10/2024,268.15
10/9/2024,269.81
10/8/2024,266.16
10/7/2024,267.22
10/4/2024,267.01
10/3/2024,264.97
10/2/2024,266.28
10/1/2024,265.26
9/30/2024,268.46
9/27/2024,270.61
9/26/2024,271.16
9/25/2024,258.04
9/24/2024,261.98
9/23/2024,261.06
9/20/2024,261.6
9/19/2024,268.23
9/18/2024,262.74
9/17/2024,263.2
9/16/2024,262.08
9/13/2024,262.92
9/12/2024,258
9/11/2024,256.85
9/10/2024,261.99
9/9/2024,259.25
9/6/2024,255.68
9/5/2024,256.92
9/4/2024,256.66
9/3/2024,261.48
