Date,TSLA
5/20/2025,343.82
5/19/2025,342.09
5/16/2025,349.98
5/15/2025,342.82
5/14/2025,347.68
5/13/2025,334.07
5/12/2025,318.38
5/9/2025,298.26
5/8/2025,284.82
5/7/2025,276.22
5/6/2025,275.35
5/5/2025,280.26
5/2/2025,287.21
5/1/2025,280.52
4/30/2025,282.16
4/29/2025,292.03
4/28/2025,285.88
4/25/2025,284.95
4/24/2025,259.51
4/23/2025,250.74
4/22/2025,237.97
4/21/2025,227.5
4/17/2025,241.37
4/16/2025,241.55
4/15/2025,254.11
4/14/2025,252.35
4/11/2025,252.31
4/10/2025,252.4
4/9/2025,272.2
4/8/2025,221.86
4/7/2025,233.29
4/4/2025,239.43
4/3/2025,267.28
4/2/2025,282.76
4/1/2025,268.46
3/31/2025,259.16
3/28/2025,263.55
3/27/2025,273.13
3/26/2025,272.06
3/25/2025,288.14
3/24/2025,278.39
3/21/2025,248.71
3/20/2025,236.26
3/19/2025,235.86
3/18/2025,225.31
3/17/2025,238.01
3/14/2025,249.98
3/13/2025,240.68
3/12/2025,248.09
3/11/2025,230.58
3/10/2025,222.15
3/7/2025,262.67
3/6/2025,263.45
3/5/2025,279.1
3/4/2025,272.04
3/3/2025,284.65
2/28/2025,292.98
2/27/2025,281.95
2/26/2025,290.8
2/25/2025,302.8
2/24/2025,330.53
2/21/2025,337.8
2/20/2025,354.4
2/19/2025,360.56
2/18/2025,354.11
2/14/2025,355.84
2/13/2025,355.94
2/12/2025,336.51
2/11/2025,328.5
2/10/2025,350.73
2/7/2025,361.62
2/6/2025,374.32
2/5/2025,378.17
2/4/2025,392.21
2/3/2025,383.68
1/31/2025,404.6
1/30/2025,400.28
1/29/2025,389.1
1/28/2025,398.09
1/27/2025,397.15
1/24/2025,406.58
1/23/2025,412.38
1/22/2025,415.11
1/21/2025,424.07
1/17/2025,426.5
1/16/2025,413.82
1/15/2025,428.22
1/14/2025,396.36
1/13/2025,403.31
1/10/2025,394.74
1/8/2025,394.94
1/7/2025,394.36
1/6/2025,411.05
1/3/2025,410.44
1/2/2025,379.28
12/31/2024,403.84
12/30/2024,417.41
12/27/2024,431.66
12/26/2024,454.13
12/24/2024,462.28
12/23/2024,430.6
12/20/2024,421.06
12/19/2024,436.17
12/18/2024,440.13
12/17/2024,479.86
12/16/2024,463.02
12/13/2024,436.23
12/12/2024,418.1
12/11/2024,424.77
12/10/2024,400.99
12/9/2024,389.79
12/6/2024,389.22
12/5/2024,369.49
12/4/2024,357.93
12/3/2024,351.42
12/2/2024,357.09
11/29/2024,345.16
11/27/2024,332.89
11/26/2024,338.23
11/25/2024,338.59
11/22/2024,352.56
11/21/2024,339.64
11/20/2024,342.03
11/19/2024,346
11/18/2024,338.74
11/15/2024,320.72
11/14/2024,311.18
11/13/2024,330.24
11/12/2024,328.49
11/11/2024,350
11/8/2024,321.22
11/7/2024,296.91
11/6/2024,288.53
11/5/2024,251.44
11/4/2024,242.84
11/1/2024,248.98
10/31/2024,249.85
10/30/2024,257.55
10/29/2024,259.52
10/28/2024,262.51
10/25/2024,269.19
10/24/2024,260.48
10/23/2024,213.65
10/22/2024,217.97
10/21/2024,218.85
10/18/2024,220.7
10/17/2024,220.89
10/16/2024,221.33
10/15/2024,219.57
10/14/2024,219.16
